"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ BZN|NL","Generation - Solar  [MW] Intraday / BZN|NL","Generation - Solar  [MW] Current / BZN|NL","Generation - Wind Offshore  [MW] Day Ahead/ BZN|NL","Generation - Wind Offshore  [MW] Intraday / BZN|NL","Generation - Wind Offshore  [MW] Current / BZN|NL","Generation - Wind Onshore  [MW] Day Ahead/ BZN|NL","Generation - Wind Onshore  [MW] Intraday / BZN|NL","Generation - Wind Onshore  [MW] Current / BZN|NL"
"01.04.2021 23:30 - 01.04.2021 23:45","0","0","n/e","422","422","n/e","647","647","n/e"
"01.04.2021 23:45 - 02.04.2021 00:00","0","0","n/e","418","418","n/e","638","638","n/e"
"02.04.2021 00:00 - 02.04.2021 00:15","0","0","n/e","420","420","n/e","601","601","n/e"
"02.04.2021 00:15 - 02.04.2021 00:30","0","0","n/e","414","414","n/e","592","592","n/e"
"02.04.2021 00:30 - 02.04.2021 00:45","0","0","n/e","412","412","n/e","595","595","n/e"
"02.04.2021 00:45 - 02.04.2021 01:00","0","0","n/e","410","410","n/e","597","597","n/e"
"02.04.2021 01:00 - 02.04.2021 01:15","0","0","n/e","407","407","n/e","600","600","n/e"
"02.04.2021 01:15 - 02.04.2021 01:30","0","0","n/e","406","406","n/e","605","605","n/e"
"02.04.2021 01:30 - 02.04.2021 01:45","0","0","n/e","405","405","n/e","610","610","n/e"
"02.04.2021 01:45 - 02.04.2021 02:00","0","0","n/e","404","404","n/e","616","616","n/e"
"02.04.2021 02:00 - 02.04.2021 02:15","0","0","n/e","404","404","n/e","620","620","n/e"
"02.04.2021 02:15 - 02.04.2021 02:30","0","0","n/e","408","408","n/e","624","624","n/e"
"02.04.2021 02:30 - 02.04.2021 02:45","0","0","n/e","418","418","n/e","628","628","n/e"
"02.04.2021 02:45 - 02.04.2021 03:00","0","0","n/e","428","428","n/e","629","629","n/e"
"02.04.2021 03:00 - 02.04.2021 03:15","0","0","n/e","438","438","n/e","634","634","n/e"
"02.04.2021 03:15 - 02.04.2021 03:30","0","0","n/e","444","444","n/e","635","635","n/e"
"02.04.2021 03:30 - 02.04.2021 03:45","0","0","n/e","448","448","n/e","634","634","n/e"
"02.04.2021 03:45 - 02.04.2021 04:00","0","0","n/e","452","452","n/e","633","633","n/e"
"02.04.2021 04:00 - 02.04.2021 04:15","0","0","n/e","456","456","n/e","632","632","n/e"
"02.04.2021 04:15 - 02.04.2021 04:30","0","0","n/e","461","461","n/e","628","628","n/e"
"02.04.2021 04:30 - 02.04.2021 04:45","0","0","n/e","467","467","n/e","619","619","n/e"
"02.04.2021 04:45 - 02.04.2021 05:00","0","0","n/e","473","473","n/e","612","612","n/e"
"02.04.2021 05:00 - 02.04.2021 05:15","0","0","n/e","480","480","n/e","604","604","n/e"
"02.04.2021 05:15 - 02.04.2021 05:30","28","28","n/e","477","477","n/e","589","589","n/e"
"02.04.2021 05:30 - 02.04.2021 05:45","58","58","n/e","464","464","n/e","564","564","n/e"
"02.04.2021 05:45 - 02.04.2021 06:00","88","88","n/e","451","451","n/e","537","537","n/e"
"02.04.2021 06:00 - 02.04.2021 06:15","115","115","n/e","439","439","n/e","512","512","n/e"
"02.04.2021 06:15 - 02.04.2021 06:30","267","267","n/e","429","429","n/e","501","501","n/e"
"02.04.2021 06:30 - 02.04.2021 06:45","423","423","n/e","422","422","n/e","506","506","n/e"
"02.04.2021 06:45 - 02.04.2021 07:00","578","578","n/e","415","415","n/e","512","512","n/e"
"02.04.2021 07:00 - 02.04.2021 07:15","730","730","n/e","408","408","n/e","516","516","n/e"
"02.04.2021 07:15 - 02.04.2021 07:30","878","878","n/e","404","404","n/e","525","525","n/e"
"02.04.2021 07:30 - 02.04.2021 07:45","1029","1029","n/e","402","402","n/e","531","531","n/e"
"02.04.2021 07:45 - 02.04.2021 08:00","1177","1177","n/e","399","399","n/e","540","540","n/e"
"02.04.2021 08:00 - 02.04.2021 08:15","1327","1327","n/e","397","397","n/e","551","551","n/e"
"02.04.2021 08:15 - 02.04.2021 08:30","1406","1406","n/e","396","396","n/e","557","557","n/e"
"02.04.2021 08:30 - 02.04.2021 08:45","1486","1486","n/e","397","397","n/e","564","564","n/e"
"02.04.2021 08:45 - 02.04.2021 09:00","1566","1566","n/e","398","398","n/e","568","568","n/e"
"02.04.2021 09:00 - 02.04.2021 09:15","1645","1645","n/e","399","399","n/e","576","576","n/e"
"02.04.2021 09:15 - 02.04.2021 09:30","1697","1697","n/e","409","409","n/e","598","598","n/e"
"02.04.2021 09:30 - 02.04.2021 09:45","1749","1749","n/e","429","429","n/e","636","636","n/e"
"02.04.2021 09:45 - 02.04.2021 10:00","1802","1802","n/e","449","449","n/e","674","674","n/e"
"02.04.2021 10:00 - 02.04.2021 10:15","1853","1853","n/e","469","469","n/e","711","711","n/e"
"02.04.2021 10:15 - 02.04.2021 10:30","1909","1909","n/e","487","487","n/e","756","756","n/e"
"02.04.2021 10:30 - 02.04.2021 10:45","1964","1964","n/e","503","503","n/e","804","804","n/e"
"02.04.2021 10:45 - 02.04.2021 11:00","2023","2023","n/e","519","519","n/e","854","854","n/e"
"02.04.2021 11:00 - 02.04.2021 11:15","2077","2077","n/e","535","535","n/e","904","904","n/e"
"02.04.2021 11:15 - 02.04.2021 11:30","2075","2075","n/e","555","555","n/e","956","956","n/e"
"02.04.2021 11:30 - 02.04.2021 11:45","2072","2072","n/e","578","578","n/e","1007","1007","n/e"
"02.04.2021 11:45 - 02.04.2021 12:00","2069","2069","n/e","601","601","n/e","1057","1057","n/e"
"02.04.2021 12:00 - 02.04.2021 12:15","2068","2068","n/e","624","624","n/e","1111","1111","n/e"
"02.04.2021 12:15 - 02.04.2021 12:30","2047","2047","n/e","641","641","n/e","1155","1155","n/e"
"02.04.2021 12:30 - 02.04.2021 12:45","2024","2024","n/e","654","654","n/e","1193","1193","n/e"
"02.04.2021 12:45 - 02.04.2021 13:00","2001","2001","n/e","666","666","n/e","1228","1228","n/e"
"02.04.2021 13:00 - 02.04.2021 13:15","1981","1981","n/e","678","678","n/e","1267","1267","n/e"
"02.04.2021 13:15 - 02.04.2021 13:30","1958","1958","n/e","689","689","n/e","1303","1303","n/e"
"02.04.2021 13:30 - 02.04.2021 13:45","1936","1936","n/e","699","699","n/e","1332","1332","n/e"
"02.04.2021 13:45 - 02.04.2021 14:00","1912","1912","n/e","708","708","n/e","1361","1361","n/e"
"02.04.2021 14:00 - 02.04.2021 14:15","1890","1890","n/e","717","717","n/e","1391","1391","n/e"
"02.04.2021 14:15 - 02.04.2021 14:30","1799","1799","n/e","725","725","n/e","1415","1415","n/e"
"02.04.2021 14:30 - 02.04.2021 14:45","1710","1710","n/e","730","730","n/e","1439","1439","n/e"
"02.04.2021 14:45 - 02.04.2021 15:00","1620","1620","n/e","736","736","n/e","1460","1460","n/e"
"02.04.2021 15:00 - 02.04.2021 15:15","1531","1531","n/e","741","741","n/e","1482","1482","n/e"
"02.04.2021 15:15 - 02.04.2021 15:30","1404","1404","n/e","747","747","n/e","1500","1500","n/e"
"02.04.2021 15:30 - 02.04.2021 15:45","1280","1280","n/e","752","752","n/e","1517","1517","n/e"
"02.04.2021 15:45 - 02.04.2021 16:00","1154","1154","n/e","758","758","n/e","1532","1532","n/e"
"02.04.2021 16:00 - 02.04.2021 16:15","1027","1027","n/e","764","764","n/e","1547","1547","n/e"
"02.04.2021 16:15 - 02.04.2021 16:30","912","912","n/e","766","766","n/e","1547","1547","n/e"
"02.04.2021 16:30 - 02.04.2021 16:45","796","796","n/e","765","765","n/e","1532","1532","n/e"
"02.04.2021 16:45 - 02.04.2021 17:00","680","680","n/e","763","763","n/e","1516","1516","n/e"
"02.04.2021 17:00 - 02.04.2021 17:15","564","564","n/e","762","762","n/e","1500","1500","n/e"
"02.04.2021 17:15 - 02.04.2021 17:30","469","469","n/e","762","762","n/e","1479","1479","n/e"
"02.04.2021 17:30 - 02.04.2021 17:45","374","374","n/e","766","766","n/e","1453","1453","n/e"
"02.04.2021 17:45 - 02.04.2021 18:00","276","276","n/e","769","769","n/e","1426","1426","n/e"
"02.04.2021 18:00 - 02.04.2021 18:15","184","184","n/e","772","772","n/e","1403","1403","n/e"
"02.04.2021 18:15 - 02.04.2021 18:30","137","137","n/e","772","772","n/e","1390","1390","n/e"
"02.04.2021 18:30 - 02.04.2021 18:45","93","93","n/e","769","769","n/e","1394","1394","n/e"
"02.04.2021 18:45 - 02.04.2021 19:00","46","46","n/e","767","767","n/e","1398","1398","n/e"
"02.04.2021 19:00 - 02.04.2021 19:15","0","0","n/e","764","764","n/e","1403","1403","n/e"
"02.04.2021 19:15 - 02.04.2021 19:30","0","0","n/e","761","761","n/e","1396","1396","n/e"
"02.04.2021 19:30 - 02.04.2021 19:45","0","0","n/e","759","759","n/e","1380","1380","n/e"
"02.04.2021 19:45 - 02.04.2021 20:00","0","0","n/e","757","757","n/e","1369","1369","n/e"
"02.04.2021 20:00 - 02.04.2021 20:15","0","0","n/e","755","755","n/e","1354","1354","n/e"
"02.04.2021 20:15 - 02.04.2021 20:30","0","0","n/e","754","754","n/e","1355","1355","n/e"
"02.04.2021 20:30 - 02.04.2021 20:45","0","0","n/e","753","753","n/e","1377","1377","n/e"
"02.04.2021 20:45 - 02.04.2021 21:00","0","0","n/e","752","752","n/e","1398","1398","n/e"
"02.04.2021 21:00 - 02.04.2021 21:15","0","0","n/e","752","752","n/e","1419","1419","n/e"
"02.04.2021 21:15 - 02.04.2021 21:30","0","0","n/e","746","746","n/e","1419","1419","n/e"
"02.04.2021 21:30 - 02.04.2021 21:45","0","0","n/e","737","737","n/e","1401","1401","n/e"
"02.04.2021 21:45 - 02.04.2021 22:00","0","0","n/e","727","727","n/e","1382","1382","n/e"
"02.04.2021 22:00 - 02.04.2021 22:15","0","0","n/e","717","717","n/e","1364","1364","n/e"
"02.04.2021 22:15 - 02.04.2021 22:30","0","0","n/e","722","722","n/e","1345","1345","n/e"
"02.04.2021 22:30 - 02.04.2021 22:45","0","0","n/e","739","739","n/e","1329","1329","n/e"
"02.04.2021 22:45 - 02.04.2021 23:00","0","0","n/e","757","757","n/e","1314","1314","n/e"
"02.04.2021 23:00 - 02.04.2021 23:15","0","0","n/e","775","775","n/e","1298","1298","n/e"
"02.04.2021 23:15 - 02.04.2021 23:30","0","0","n/e","783","783","n/e","1289","1289","n/e"
"02.04.2021 23:30 - 02.04.2021 23:45","0","0","n/e","779","779","n/e","1291","1291","n/e"
"02.04.2021 23:45 - 03.04.2021 00:00","0","0","n/e","776","776","n/e","1292","1292","n/e"
"03.04.2021 00:00 - 03.04.2021 00:15","0","0","n/e","781","781","n/e","1313","1313","n/e"
"03.04.2021 00:15 - 03.04.2021 00:30","0","0","n/e","783","783","n/e","1314","1314","n/e"
"03.04.2021 00:30 - 03.04.2021 00:45","0","0","n/e","784","784","n/e","1311","1311","n/e"
"03.04.2021 00:45 - 03.04.2021 01:00","0","0","n/e","785","785","n/e","1309","1309","n/e"
"03.04.2021 01:00 - 03.04.2021 01:15","0","0","n/e","786","786","n/e","1306","1306","n/e"
"03.04.2021 01:15 - 03.04.2021 01:30","0","0","n/e","786","786","n/e","1298","1298","n/e"
"03.04.2021 01:30 - 03.04.2021 01:45","0","0","n/e","785","785","n/e","1284","1284","n/e"
"03.04.2021 01:45 - 03.04.2021 02:00","0","0","n/e","784","784","n/e","1268","1268","n/e"
"03.04.2021 02:00 - 03.04.2021 02:15","0","0","n/e","784","784","n/e","1253","1253","n/e"
"03.04.2021 02:15 - 03.04.2021 02:30","0","0","n/e","785","785","n/e","1239","1239","n/e"
"03.04.2021 02:30 - 03.04.2021 02:45","0","0","n/e","789","789","n/e","1224","1224","n/e"
"03.04.2021 02:45 - 03.04.2021 03:00","0","0","n/e","792","792","n/e","1211","1211","n/e"
"03.04.2021 03:00 - 03.04.2021 03:15","0","0","n/e","796","796","n/e","1200","1200","n/e"
"03.04.2021 03:15 - 03.04.2021 03:30","0","0","n/e","790","790","n/e","1171","1171","n/e"
"03.04.2021 03:30 - 03.04.2021 03:45","0","0","n/e","775","775","n/e","1134","1134","n/e"
"03.04.2021 03:45 - 03.04.2021 04:00","0","0","n/e","761","761","n/e","1094","1094","n/e"
"03.04.2021 04:00 - 03.04.2021 04:15","0","0","n/e","746","746","n/e","1057","1057","n/e"
"03.04.2021 04:15 - 03.04.2021 04:30","0","0","n/e","735","735","n/e","1021","1021","n/e"
"03.04.2021 04:30 - 03.04.2021 04:45","0","0","n/e","726","726","n/e","987","987","n/e"
"03.04.2021 04:45 - 03.04.2021 05:00","0","0","n/e","717","717","n/e","955","955","n/e"
"03.04.2021 05:00 - 03.04.2021 05:15","0","0","n/e","709","709","n/e","924","924","n/e"
"03.04.2021 05:15 - 03.04.2021 05:30","29","29","n/e","701","701","n/e","883","883","n/e"
"03.04.2021 05:30 - 03.04.2021 05:45","63","63","n/e","695","695","n/e","838","838","n/e"
"03.04.2021 05:45 - 03.04.2021 06:00","93","93","n/e","688","688","n/e","790","790","n/e"
"03.04.2021 06:00 - 03.04.2021 06:15","122","122","n/e","682","682","n/e","741","741","n/e"
"03.04.2021 06:15 - 03.04.2021 06:30","246","246","n/e","674","674","n/e","716","716","n/e"
"03.04.2021 06:30 - 03.04.2021 06:45","375","375","n/e","664","664","n/e","714","714","n/e"
"03.04.2021 06:45 - 03.04.2021 07:00","501","501","n/e","654","654","n/e","712","712","n/e"
"03.04.2021 07:00 - 03.04.2021 07:15","627","627","n/e","644","644","n/e","707","707","n/e"
"03.04.2021 07:15 - 03.04.2021 07:30","811","811","n/e","634","634","n/e","706","706","n/e"
"03.04.2021 07:30 - 03.04.2021 07:45","997","997","n/e","624","624","n/e","706","706","n/e"
"03.04.2021 07:45 - 03.04.2021 08:00","1179","1179","n/e","614","614","n/e","703","703","n/e"
"03.04.2021 08:00 - 03.04.2021 08:15","1367","1367","n/e","605","605","n/e","701","701","n/e"
"03.04.2021 08:15 - 03.04.2021 08:30","1574","1574","n/e","595","595","n/e","696","696","n/e"
"03.04.2021 08:30 - 03.04.2021 08:45","1781","1781","n/e","585","585","n/e","686","686","n/e"
"03.04.2021 08:45 - 03.04.2021 09:00","1990","1990","n/e","575","575","n/e","675","675","n/e"
"03.04.2021 09:00 - 03.04.2021 09:15","2199","2199","n/e","565","565","n/e","664","664","n/e"
"03.04.2021 09:15 - 03.04.2021 09:30","2369","2369","n/e","556","556","n/e","657","657","n/e"
"03.04.2021 09:30 - 03.04.2021 09:45","2541","2541","n/e","549","549","n/e","651","651","n/e"
"03.04.2021 09:45 - 03.04.2021 10:00","2712","2712","n/e","543","543","n/e","646","646","n/e"
"03.04.2021 10:00 - 03.04.2021 10:15","2885","2885","n/e","536","536","n/e","641","641","n/e"
"03.04.2021 10:15 - 03.04.2021 10:30","2981","2981","n/e","529","529","n/e","641","641","n/e"
"03.04.2021 10:30 - 03.04.2021 10:45","3078","3078","n/e","522","522","n/e","645","645","n/e"
"03.04.2021 10:45 - 03.04.2021 11:00","3175","3175","n/e","515","515","n/e","649","649","n/e"
"03.04.2021 11:00 - 03.04.2021 11:15","3274","3274","n/e","508","508","n/e","653","653","n/e"
"03.04.2021 11:15 - 03.04.2021 11:30","3294","3294","n/e","502","502","n/e","654","654","n/e"
"03.04.2021 11:30 - 03.04.2021 11:45","3313","3313","n/e","498","498","n/e","650","650","n/e"
"03.04.2021 11:45 - 03.04.2021 12:00","3334","3334","n/e","494","494","n/e","649","649","n/e"
"03.04.2021 12:00 - 03.04.2021 12:15","3354","3354","n/e","490","490","n/e","646","646","n/e"
"03.04.2021 12:15 - 03.04.2021 12:30","3294","3294","n/e","487","487","n/e","655","655","n/e"
"03.04.2021 12:30 - 03.04.2021 12:45","3232","3232","n/e","485","485","n/e","681","681","n/e"
"03.04.2021 12:45 - 03.04.2021 13:00","3175","3175","n/e","483","483","n/e","705","705","n/e"
"03.04.2021 13:00 - 03.04.2021 13:15","3115","3115","n/e","482","482","n/e","728","728","n/e"
"03.04.2021 13:15 - 03.04.2021 13:30","2997","2997","n/e","483","483","n/e","746","746","n/e"
"03.04.2021 13:30 - 03.04.2021 13:45","2881","2881","n/e","489","489","n/e","755","755","n/e"
"03.04.2021 13:45 - 03.04.2021 14:00","2763","2763","n/e","494","494","n/e","764","764","n/e"
"03.04.2021 14:00 - 03.04.2021 14:15","2650","2650","n/e","499","499","n/e","772","772","n/e"
"03.04.2021 14:15 - 03.04.2021 14:30","2507","2507","n/e","504","504","n/e","784","784","n/e"
"03.04.2021 14:30 - 03.04.2021 14:45","2367","2367","n/e","508","508","n/e","798","798","n/e"
"03.04.2021 14:45 - 03.04.2021 15:00","2225","2225","n/e","512","512","n/e","813","813","n/e"
"03.04.2021 15:00 - 03.04.2021 15:15","2084","2084","n/e","515","515","n/e","829","829","n/e"
"03.04.2021 15:15 - 03.04.2021 15:30","1918","1918","n/e","517","517","n/e","842","842","n/e"
"03.04.2021 15:30 - 03.04.2021 15:45","1751","1751","n/e","518","518","n/e","854","854","n/e"
"03.04.2021 15:45 - 03.04.2021 16:00","1584","1584","n/e","518","518","n/e","864","864","n/e"
"03.04.2021 16:00 - 03.04.2021 16:15","1417","1417","n/e","518","518","n/e","875","875","n/e"
"03.04.2021 16:15 - 03.04.2021 16:30","1244","1244","n/e","526","526","n/e","890","890","n/e"
"03.04.2021 16:30 - 03.04.2021 16:45","1072","1072","n/e","542","542","n/e","910","910","n/e"
"03.04.2021 16:45 - 03.04.2021 17:00","901","901","n/e","558","558","n/e","928","928","n/e"
"03.04.2021 17:00 - 03.04.2021 17:15","731","731","n/e","574","574","n/e","947","947","n/e"
"03.04.2021 17:15 - 03.04.2021 17:30","600","600","n/e","581","581","n/e","950","950","n/e"
"03.04.2021 17:30 - 03.04.2021 17:45","470","470","n/e","580","580","n/e","939","939","n/e"
"03.04.2021 17:45 - 03.04.2021 18:00","339","339","n/e","578","578","n/e","927","927","n/e"
"03.04.2021 18:00 - 03.04.2021 18:15","209","209","n/e","577","577","n/e","912","912","n/e"
"03.04.2021 18:15 - 03.04.2021 18:30","157","157","n/e","576","576","n/e","897","897","n/e"
"03.04.2021 18:30 - 03.04.2021 18:45","106","106","n/e","575","575","n/e","870","870","n/e"
"03.04.2021 18:45 - 03.04.2021 19:00","55","55","n/e","575","575","n/e","846","846","n/e"
"03.04.2021 19:00 - 03.04.2021 19:15","1","1","n/e","574","574","n/e","823","823","n/e"
"03.04.2021 19:15 - 03.04.2021 19:30","0","0","n/e","563","563","n/e","798","798","n/e"
"03.04.2021 19:30 - 03.04.2021 19:45","0","0","n/e","542","542","n/e","777","777","n/e"
"03.04.2021 19:45 - 03.04.2021 20:00","0","0","n/e","521","521","n/e","756","756","n/e"
"03.04.2021 20:00 - 03.04.2021 20:15","0","0","n/e","499","499","n/e","735","735","n/e"
"03.04.2021 20:15 - 03.04.2021 20:30","0","0","n/e","469","469","n/e","706","706","n/e"
"03.04.2021 20:30 - 03.04.2021 20:45","0","0","n/e","430","430","n/e","672","672","n/e"
"03.04.2021 20:45 - 03.04.2021 21:00","0","0","n/e","390","390","n/e","640","640","n/e"
"03.04.2021 21:00 - 03.04.2021 21:15","0","0","n/e","351","351","n/e","607","607","n/e"
"03.04.2021 21:15 - 03.04.2021 21:30","0","0","n/e","322","322","n/e","572","572","n/e"
"03.04.2021 21:30 - 03.04.2021 21:45","0","0","n/e","303","303","n/e","538","538","n/e"
"03.04.2021 21:45 - 03.04.2021 22:00","0","0","n/e","285","285","n/e","505","505","n/e"
"03.04.2021 22:00 - 03.04.2021 22:15","0","0","n/e","266","266","n/e","473","473","n/e"
"03.04.2021 22:15 - 03.04.2021 22:30","0","0","n/e","251","251","n/e","441","441","n/e"
"03.04.2021 22:30 - 03.04.2021 22:45","0","0","n/e","239","239","n/e","412","412","n/e"
"03.04.2021 22:45 - 03.04.2021 23:00","0","0","n/e","226","226","n/e","386","386","n/e"
"03.04.2021 23:00 - 03.04.2021 23:15","0","0","n/e","214","214","n/e","354","354","n/e"
"03.04.2021 23:15 - 03.04.2021 23:30","0","0","n/e","202","202","n/e","328","328","n/e"
"03.04.2021 23:30 - 03.04.2021 23:45","0","0","n/e","190","190","n/e","297","297","n/e"
"03.04.2021 23:45 - 04.04.2021 00:00","0","0","n/e","178","178","n/e","268","268","n/e"
"04.04.2021 00:00 - 04.04.2021 00:15","0","0","n/e","181","181","n/e","318","318","n/e"
"04.04.2021 00:15 - 04.04.2021 00:30","0","0","n/e","166","166","n/e","304","304","n/e"
"04.04.2021 00:30 - 04.04.2021 00:45","0","0","n/e","157","157","n/e","299","299","n/e"
"04.04.2021 00:45 - 04.04.2021 01:00","0","0","n/e","149","149","n/e","293","293","n/e"
"04.04.2021 01:00 - 04.04.2021 01:15","0","0","n/e","140","140","n/e","290","290","n/e"
"04.04.2021 01:15 - 04.04.2021 01:30","0","0","n/e","135","135","n/e","282","282","n/e"
"04.04.2021 01:30 - 04.04.2021 01:45","0","0","n/e","133","133","n/e","275","275","n/e"
"04.04.2021 01:45 - 04.04.2021 02:00","0","0","n/e","130","130","n/e","267","267","n/e"
"04.04.2021 02:00 - 04.04.2021 02:15","0","0","n/e","128","128","n/e","260","260","n/e"
"04.04.2021 02:15 - 04.04.2021 02:30","0","0","n/e","127","127","n/e","255","255","n/e"
"04.04.2021 02:30 - 04.04.2021 02:45","0","0","n/e","126","126","n/e","251","251","n/e"
"04.04.2021 02:45 - 04.04.2021 03:00","0","0","n/e","126","126","n/e","248","248","n/e"
"04.04.2021 03:00 - 04.04.2021 03:15","0","0","n/e","125","125","n/e","246","246","n/e"
"04.04.2021 03:15 - 04.04.2021 03:30","0","0","n/e","123","123","n/e","239","239","n/e"
"04.04.2021 03:30 - 04.04.2021 03:45","0","0","n/e","117","117","n/e","226","226","n/e"
"04.04.2021 03:45 - 04.04.2021 04:00","0","0","n/e","112","112","n/e","214","214","n/e"
"04.04.2021 04:00 - 04.04.2021 04:15","0","0","n/e","107","107","n/e","203","203","n/e"
"04.04.2021 04:15 - 04.04.2021 04:30","0","0","n/e","103","103","n/e","188","188","n/e"
"04.04.2021 04:30 - 04.04.2021 04:45","0","0","n/e","100","100","n/e","178","178","n/e"
"04.04.2021 04:45 - 04.04.2021 05:00","0","0","n/e","98","98","n/e","167","167","n/e"
"04.04.2021 05:00 - 04.04.2021 05:15","0","0","n/e","95","95","n/e","157","157","n/e"
"04.04.2021 05:15 - 04.04.2021 05:30","13","13","n/e","93","93","n/e","151","151","n/e"
"04.04.2021 05:30 - 04.04.2021 05:45","28","28","n/e","93","93","n/e","151","151","n/e"
"04.04.2021 05:45 - 04.04.2021 06:00","42","42","n/e","92","92","n/e","149","149","n/e"
"04.04.2021 06:00 - 04.04.2021 06:15","56","56","n/e","92","92","n/e","150","150","n/e"
"04.04.2021 06:15 - 04.04.2021 06:30","88","88","n/e","93","93","n/e","154","154","n/e"
"04.04.2021 06:30 - 04.04.2021 06:45","120","120","n/e","95","95","n/e","161","161","n/e"
"04.04.2021 06:45 - 04.04.2021 07:00","152","152","n/e","97","97","n/e","169","169","n/e"
"04.04.2021 07:00 - 04.04.2021 07:15","183","183","n/e","99","99","n/e","176","176","n/e"
"04.04.2021 07:15 - 04.04.2021 07:30","224","224","n/e","100","100","n/e","188","188","n/e"
"04.04.2021 07:30 - 04.04.2021 07:45","264","264","n/e","101","101","n/e","198","198","n/e"
"04.04.2021 07:45 - 04.04.2021 08:00","304","304","n/e","102","102","n/e","209","209","n/e"
"04.04.2021 08:00 - 04.04.2021 08:15","343","343","n/e","102","102","n/e","220","220","n/e"
"04.04.2021 08:15 - 04.04.2021 08:30","388","388","n/e","104","104","n/e","232","232","n/e"
"04.04.2021 08:30 - 04.04.2021 08:45","433","433","n/e","107","107","n/e","245","245","n/e"
"04.04.2021 08:45 - 04.04.2021 09:00","479","479","n/e","110","110","n/e","256","256","n/e"
"04.04.2021 09:00 - 04.04.2021 09:15","524","524","n/e","113","113","n/e","268","268","n/e"
"04.04.2021 09:15 - 04.04.2021 09:30","570","570","n/e","115","115","n/e","277","277","n/e"
"04.04.2021 09:30 - 04.04.2021 09:45","616","616","n/e","117","117","n/e","284","284","n/e"
"04.04.2021 09:45 - 04.04.2021 10:00","660","660","n/e","119","119","n/e","289","289","n/e"
"04.04.2021 10:00 - 04.04.2021 10:15","707","707","n/e","121","121","n/e","294","294","n/e"
"04.04.2021 10:15 - 04.04.2021 10:30","753","753","n/e","128","128","n/e","300","300","n/e"
"04.04.2021 10:30 - 04.04.2021 10:45","800","800","n/e","142","142","n/e","304","304","n/e"
"04.04.2021 10:45 - 04.04.2021 11:00","849","849","n/e","156","156","n/e","310","310","n/e"
"04.04.2021 11:00 - 04.04.2021 11:15","896","896","n/e","169","169","n/e","316","316","n/e"
"04.04.2021 11:15 - 04.04.2021 11:30","944","944","n/e","182","182","n/e","325","325","n/e"
"04.04.2021 11:30 - 04.04.2021 11:45","991","991","n/e","195","195","n/e","334","334","n/e"
"04.04.2021 11:45 - 04.04.2021 12:00","1040","1040","n/e","207","207","n/e","344","344","n/e"
"04.04.2021 12:00 - 04.04.2021 12:15","1088","1088","n/e","220","220","n/e","356","356","n/e"
"04.04.2021 12:15 - 04.04.2021 12:30","1110","1110","n/e","230","230","n/e","369","369","n/e"
"04.04.2021 12:30 - 04.04.2021 12:45","1133","1133","n/e","239","239","n/e","390","390","n/e"
"04.04.2021 12:45 - 04.04.2021 13:00","1156","1156","n/e","248","248","n/e","410","410","n/e"
"04.04.2021 13:00 - 04.04.2021 13:15","1178","1178","n/e","257","257","n/e","428","428","n/e"
"04.04.2021 13:15 - 04.04.2021 13:30","1184","1184","n/e","267","267","n/e","454","454","n/e"
"04.04.2021 13:30 - 04.04.2021 13:45","1190","1190","n/e","279","279","n/e","489","489","n/e"
"04.04.2021 13:45 - 04.04.2021 14:00","1197","1197","n/e","291","291","n/e","519","519","n/e"
"04.04.2021 14:00 - 04.04.2021 14:15","1202","1202","n/e","302","302","n/e","555","555","n/e"
"04.04.2021 14:15 - 04.04.2021 14:30","1180","1180","n/e","317","317","n/e","587","587","n/e"
"04.04.2021 14:30 - 04.04.2021 14:45","1157","1157","n/e","334","334","n/e","618","618","n/e"
"04.04.2021 14:45 - 04.04.2021 15:00","1134","1134","n/e","352","352","n/e","652","652","n/e"
"04.04.2021 15:00 - 04.04.2021 15:15","1111","1111","n/e","369","369","n/e","685","685","n/e"
"04.04.2021 15:15 - 04.04.2021 15:30","1078","1078","n/e","388","388","n/e","719","719","n/e"
"04.04.2021 15:30 - 04.04.2021 15:45","1045","1045","n/e","410","410","n/e","750","750","n/e"
"04.04.2021 15:45 - 04.04.2021 16:00","1014","1014","n/e","431","431","n/e","782","782","n/e"
"04.04.2021 16:00 - 04.04.2021 16:15","979","979","n/e","453","453","n/e","814","814","n/e"
"04.04.2021 16:15 - 04.04.2021 16:30","901","901","n/e","482","482","n/e","858","858","n/e"
"04.04.2021 16:30 - 04.04.2021 16:45","826","826","n/e","521","521","n/e","911","911","n/e"
"04.04.2021 16:45 - 04.04.2021 17:00","749","749","n/e","559","559","n/e","963","963","n/e"
"04.04.2021 17:00 - 04.04.2021 17:15","670","670","n/e","597","597","n/e","1020","1020","n/e"
"04.04.2021 17:15 - 04.04.2021 17:30","567","567","n/e","630","630","n/e","1062","1062","n/e"
"04.04.2021 17:30 - 04.04.2021 17:45","462","462","n/e","658","658","n/e","1097","1097","n/e"
"04.04.2021 17:45 - 04.04.2021 18:00","358","358","n/e","686","686","n/e","1130","1130","n/e"
"04.04.2021 18:00 - 04.04.2021 18:15","251","251","n/e","713","713","n/e","1165","1165","n/e"
"04.04.2021 18:15 - 04.04.2021 18:30","189","189","n/e","734","734","n/e","1207","1207","n/e"
