"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - BZN|NL","Actual Total Load [MW] - BZN|NL"
"01.01.2021 00:00 - 01.01.2021 00:15","12451","11395"
"01.01.2021 00:15 - 01.01.2021 00:30","12446","11433"
"01.01.2021 00:30 - 01.01.2021 00:45","12406","11434"
"01.01.2021 00:45 - 01.01.2021 01:00","12298","11376"
"01.01.2021 01:00 - 01.01.2021 01:15","12163","11418"
"01.01.2021 01:15 - 01.01.2021 01:30","12072","11379"
"01.01.2021 01:30 - 01.01.2021 01:45","12019","11283"
"01.01.2021 01:45 - 01.01.2021 02:00","11925","11172"
"01.01.2021 02:00 - 01.01.2021 02:15","11835","11091"
"01.01.2021 02:15 - 01.01.2021 02:30","11761","10988"
"01.01.2021 02:30 - 01.01.2021 02:45","11708","10867"
"01.01.2021 02:45 - 01.01.2021 03:00","11651","10755"
"01.01.2021 03:00 - 01.01.2021 03:15","11613","10677"
"01.01.2021 03:15 - 01.01.2021 03:30","11606","10619"
"01.01.2021 03:30 - 01.01.2021 03:45","11604","10521"
"01.01.2021 03:45 - 01.01.2021 04:00","11603","10490"
"01.01.2021 04:00 - 01.01.2021 04:15","11626","10435"
"01.01.2021 04:15 - 01.01.2021 04:30","11675","10392"
"01.01.2021 04:30 - 01.01.2021 04:45","11703","10333"
"01.01.2021 04:45 - 01.01.2021 05:00","11706","10324"
"01.01.2021 05:00 - 01.01.2021 05:15","11791","10370"
"01.01.2021 05:15 - 01.01.2021 05:30","11914","10395"
"01.01.2021 05:30 - 01.01.2021 05:45","12013","10466"
"01.01.2021 05:45 - 01.01.2021 06:00","12171","10450"
"01.01.2021 06:00 - 01.01.2021 06:15","12405","10578"
"01.01.2021 06:15 - 01.01.2021 06:30","12638","10575"
"01.01.2021 06:30 - 01.01.2021 06:45","12805","10576"
"01.01.2021 06:45 - 01.01.2021 07:00","12984","10637"
"01.01.2021 07:00 - 01.01.2021 07:15","13330","10716"
"01.01.2021 07:15 - 01.01.2021 07:30","13664","10789"
"01.01.2021 07:30 - 01.01.2021 07:45","13969","10839"
"01.01.2021 07:45 - 01.01.2021 08:00","14275","10926"
"01.01.2021 08:00 - 01.01.2021 08:15","14562","11026"
"01.01.2021 08:15 - 01.01.2021 08:30","14823","11178"
"01.01.2021 08:30 - 01.01.2021 08:45","15031","11226"
"01.01.2021 08:45 - 01.01.2021 09:00","15157","11212"
"01.01.2021 09:00 - 01.01.2021 09:15","15302","11334"
"01.01.2021 09:15 - 01.01.2021 09:30","15375","11441"
"01.01.2021 09:30 - 01.01.2021 09:45","15398","11526"
"01.01.2021 09:45 - 01.01.2021 10:00","15371","11562"
"01.01.2021 10:00 - 01.01.2021 10:15","15306","11595"
"01.01.2021 10:15 - 01.01.2021 10:30","15251","11633"
"01.01.2021 10:30 - 01.01.2021 10:45","15107","11640"
"01.01.2021 10:45 - 01.01.2021 11:00","15017","11630"
"01.01.2021 11:00 - 01.01.2021 11:15","14934","11607"
"01.01.2021 11:15 - 01.01.2021 11:30","14828","11581"
"01.01.2021 11:30 - 01.01.2021 11:45","14727","11577"
"01.01.2021 11:45 - 01.01.2021 12:00","14642","11603"
"01.01.2021 12:00 - 01.01.2021 12:15","14550","11597"
"01.01.2021 12:15 - 01.01.2021 12:30","14448","11627"
"01.01.2021 12:30 - 01.01.2021 12:45","14376","11684"
"01.01.2021 12:45 - 01.01.2021 13:00","14366","11706"
"01.01.2021 13:00 - 01.01.2021 13:15","14385","11760"
"01.01.2021 13:15 - 01.01.2021 13:30","14435","11766"
"01.01.2021 13:30 - 01.01.2021 13:45","14426","11789"
"01.01.2021 13:45 - 01.01.2021 14:00","14452","11844"
"01.01.2021 14:00 - 01.01.2021 14:15","14454","11874"
"01.01.2021 14:15 - 01.01.2021 14:30","14571","11928"
"01.01.2021 14:30 - 01.01.2021 14:45","14737","12017"
"01.01.2021 14:45 - 01.01.2021 15:00","14855","12155"
"01.01.2021 15:00 - 01.01.2021 15:15","14951","12299"
"01.01.2021 15:15 - 01.01.2021 15:30","15050","12375"
"01.01.2021 15:30 - 01.01.2021 15:45","15177","12488"
"01.01.2021 15:45 - 01.01.2021 16:00","15294","12620"
"01.01.2021 16:00 - 01.01.2021 16:15","15383","12713"
"01.01.2021 16:15 - 01.01.2021 16:30","15472","12889"
"01.01.2021 16:30 - 01.01.2021 16:45","15649","13111"
"01.01.2021 16:45 - 01.01.2021 17:00","15912","13512"
"01.01.2021 17:00 - 01.01.2021 17:15","16106","13841"
"01.01.2021 17:15 - 01.01.2021 17:30","16225","14118"
"01.01.2021 17:30 - 01.01.2021 17:45","16320","14300"
"01.01.2021 17:45 - 01.01.2021 18:00","16255","14293"
"01.01.2021 18:00 - 01.01.2021 18:15","15901","14029"
"01.01.2021 18:15 - 01.01.2021 18:30","15560","13905"
"01.01.2021 18:30 - 01.01.2021 18:45","15433","13769"
"01.01.2021 18:45 - 01.01.2021 19:00","15278","13656"
"01.01.2021 19:00 - 01.01.2021 19:15","15108","13554"
"01.01.2021 19:15 - 01.01.2021 19:30","14933","13435"
"01.01.2021 19:30 - 01.01.2021 19:45","14781","13325"
"01.01.2021 19:45 - 01.01.2021 20:00","14661","13276"
"01.01.2021 20:00 - 01.01.2021 20:15","14512","13121"
"01.01.2021 20:15 - 01.01.2021 20:30","14362","13030"
"01.01.2021 20:30 - 01.01.2021 20:45","14219","12778"
