"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - BZN|NL","Actual Total Load [MW] - BZN|NL"
"01.01.2021 20:45 - 01.01.2021 21:00","14056","12619"
"01.01.2021 21:00 - 01.01.2021 21:15","13867","12465"
"01.01.2021 21:15 - 01.01.2021 21:30","13734","12362"
"01.01.2021 21:30 - 01.01.2021 21:45","13607","12255"
"01.01.2021 21:45 - 01.01.2021 22:00","13484","12147"
"01.01.2021 22:00 - 01.01.2021 22:15","13324","12003"
"01.01.2021 22:15 - 01.01.2021 22:30","13207","11890"
"01.01.2021 22:30 - 01.01.2021 22:45","13057","11669"
"01.01.2021 22:45 - 01.01.2021 23:00","12892","11558"
"01.01.2021 23:00 - 01.01.2021 23:15","12793","11476"
"01.01.2021 23:15 - 01.01.2021 23:30","12714","11348"
"01.01.2021 23:30 - 01.01.2021 23:45","12558","11122"
"01.01.2021 23:45 - 02.01.2021 00:00","12369","10973"
"02.01.2021 00:00 - 02.01.2021 00:15","12614","10946"
"02.01.2021 00:15 - 02.01.2021 00:30","12633","10888"
"02.01.2021 00:30 - 02.01.2021 00:45","12581","10810"
"02.01.2021 00:45 - 02.01.2021 01:00","12492","10677"
"02.01.2021 01:00 - 02.01.2021 01:15","12386","10612"
"02.01.2021 01:15 - 02.01.2021 01:30","12285","10574"
"02.01.2021 01:30 - 02.01.2021 01:45","12173","10499"
"02.01.2021 01:45 - 02.01.2021 02:00","12045","10405"
"02.01.2021 02:00 - 02.01.2021 02:15","11939","10340"
"02.01.2021 02:15 - 02.01.2021 02:30","11865","10287"
"02.01.2021 02:30 - 02.01.2021 02:45","11802","10223"
"02.01.2021 02:45 - 02.01.2021 03:00","11755","10207"
"02.01.2021 03:00 - 02.01.2021 03:15","11717","10182"
"02.01.2021 03:15 - 02.01.2021 03:30","11691","10190"
"02.01.2021 03:30 - 02.01.2021 03:45","11656","10140"
"02.01.2021 03:45 - 02.01.2021 04:00","11618","10144"
"02.01.2021 04:00 - 02.01.2021 04:15","11596","10173"
"02.01.2021 04:15 - 02.01.2021 04:30","11599","10185"
"02.01.2021 04:30 - 02.01.2021 04:45","11573","10212"
"02.01.2021 04:45 - 02.01.2021 05:00","11572","10230"
"02.01.2021 05:00 - 02.01.2021 05:15","11574","10357"
"02.01.2021 05:15 - 02.01.2021 05:30","11609","10398"
"02.01.2021 05:30 - 02.01.2021 05:45","11670","10434"
"02.01.2021 05:45 - 02.01.2021 06:00","11714","10503"
"02.01.2021 06:00 - 02.01.2021 06:15","11794","10683"
"02.01.2021 06:15 - 02.01.2021 06:30","11941","10802"
"02.01.2021 06:30 - 02.01.2021 06:45","12037","10926"
"02.01.2021 06:45 - 02.01.2021 07:00","12122","11026"
"02.01.2021 07:00 - 02.01.2021 07:15","12247","11250"
"02.01.2021 07:15 - 02.01.2021 07:30","12429","11391"
"02.01.2021 07:30 - 02.01.2021 07:45","12587","11548"
"02.01.2021 07:45 - 02.01.2021 08:00","12739","11714"
"02.01.2021 08:00 - 02.01.2021 08:15","12923","11912"
"02.01.2021 08:15 - 02.01.2021 08:30","13141","12110"
"02.01.2021 08:30 - 02.01.2021 08:45","13329","12295"
"02.01.2021 08:45 - 02.01.2021 09:00","13471","12406"
"02.01.2021 09:00 - 02.01.2021 09:15","13547","12570"
"02.01.2021 09:15 - 02.01.2021 09:30","13619","12764"
"02.01.2021 09:30 - 02.01.2021 09:45","13764","12893"
"02.01.2021 09:45 - 02.01.2021 10:00","13833","13053"
"02.01.2021 10:00 - 02.01.2021 10:15","13874","13124"
"02.01.2021 10:15 - 02.01.2021 10:30","13896","13169"
"02.01.2021 10:30 - 02.01.2021 10:45","13900","13220"
"02.01.2021 10:45 - 02.01.2021 11:00","13875","13223"
"02.01.2021 11:00 - 02.01.2021 11:15","13853","13261"
"02.01.2021 11:15 - 02.01.2021 11:30","13824","13234"
"02.01.2021 11:30 - 02.01.2021 11:45","13792","13207"
"02.01.2021 11:45 - 02.01.2021 12:00","13798","13263"
"02.01.2021 12:00 - 02.01.2021 12:15","13857","13298"
"02.01.2021 12:15 - 02.01.2021 12:30","13932","13266"
"02.01.2021 12:30 - 02.01.2021 12:45","13937","13251"
"02.01.2021 12:45 - 02.01.2021 13:00","13927","13090"
"02.01.2021 13:00 - 02.01.2021 13:15","13950","13150"
"02.01.2021 13:15 - 02.01.2021 13:30","13975","13250"
"02.01.2021 13:30 - 02.01.2021 13:45","13979","13250"
"02.01.2021 13:45 - 02.01.2021 14:00","13980","13321"
"02.01.2021 14:00 - 02.01.2021 14:15","14018","13335"
"02.01.2021 14:15 - 02.01.2021 14:30","14058","13395"
"02.01.2021 14:30 - 02.01.2021 14:45","14114","13466"
"02.01.2021 14:45 - 02.01.2021 15:00","14165","13484"
"02.01.2021 15:00 - 02.01.2021 15:15","14199","13543"
"02.01.2021 15:15 - 02.01.2021 15:30","14235","13569"
"02.01.2021 15:30 - 02.01.2021 15:45","14275","13642"
"02.01.2021 15:45 - 02.01.2021 16:00","14295","13715"
"02.01.2021 16:00 - 02.01.2021 16:15","14317","13763"
"02.01.2021 16:15 - 02.01.2021 16:30","14330","13871"
"02.01.2021 16:30 - 02.01.2021 16:45","14440","14107"
"02.01.2021 16:45 - 02.01.2021 17:00","14635","14519"
"02.01.2021 17:00 - 02.01.2021 17:15","14802","14824"
"02.01.2021 17:15 - 02.01.2021 17:30","14835","15088"
"02.01.2021 17:30 - 02.01.2021 17:45","14950","15264"
"02.01.2021 17:45 - 02.01.2021 18:00","14988","15241"
"02.01.2021 18:00 - 02.01.2021 18:15","14720","14897"
"02.01.2021 18:15 - 02.01.2021 18:30","14283","14752"
"02.01.2021 18:30 - 02.01.2021 18:45","14125","14587"
"02.01.2021 18:45 - 02.01.2021 19:00","13989","14447"
"02.01.2021 19:00 - 02.01.2021 19:15","13846","14241"
"02.01.2021 19:15 - 02.01.2021 19:30","13704","14140"
"02.01.2021 19:30 - 02.01.2021 19:45","13551","13946"
"02.01.2021 19:45 - 02.01.2021 20:00","13404","13880"
"02.01.2021 20:00 - 02.01.2021 20:15","13317","13693"
"02.01.2021 20:15 - 02.01.2021 20:30","13341","13545"
"02.01.2021 20:30 - 02.01.2021 20:45","13225","13344"
"02.01.2021 20:45 - 02.01.2021 21:00","13086","13115"
"02.01.2021 21:00 - 02.01.2021 21:15","12995","12927"
"02.01.2021 21:15 - 02.01.2021 21:30","12888","12817"
"02.01.2021 21:30 - 02.01.2021 21:45","12771","12676"
"02.01.2021 21:45 - 02.01.2021 22:00","12652","12538"
"02.01.2021 22:00 - 02.01.2021 22:15","12558","12350"
"02.01.2021 22:15 - 02.01.2021 22:30","12459","12248"
"02.01.2021 22:30 - 02.01.2021 22:45","12345","12085"
"02.01.2021 22:45 - 02.01.2021 23:00","12229","11956"
"02.01.2021 23:00 - 02.01.2021 23:15","12139","11871"
"02.01.2021 23:15 - 02.01.2021 23:30","12094","11729"
"02.01.2021 23:30 - 02.01.2021 23:45","11993","11591"
"02.01.2021 23:45 - 03.01.2021 00:00","11866","11421"
"03.01.2021 00:00 - 03.01.2021 00:15","11798","11365"
"03.01.2021 00:15 - 03.01.2021 00:30","11811","11306"
"03.01.2021 00:30 - 03.01.2021 00:45","11785","11239"
"03.01.2021 00:45 - 03.01.2021 01:00","11700","11101"
"03.01.2021 01:00 - 03.01.2021 01:15","11600","11015"
"03.01.2021 01:15 - 03.01.2021 01:30","11528","11011"
"03.01.2021 01:30 - 03.01.2021 01:45","11443","10850"
"03.01.2021 01:45 - 03.01.2021 02:00","11333","10738"
"03.01.2021 02:00 - 03.01.2021 02:15","11226","10681"
"03.01.2021 02:15 - 03.01.2021 02:30","11162","10609"
"03.01.2021 02:30 - 03.01.2021 02:45","11087","10564"
"03.01.2021 02:45 - 03.01.2021 03:00","11040","10514"
"03.01.2021 03:00 - 03.01.2021 03:15","11027","10466"
"03.01.2021 03:15 - 03.01.2021 03:30","11030","10392"
"03.01.2021 03:30 - 03.01.2021 03:45","11056","10372"
"03.01.2021 03:45 - 03.01.2021 04:00","11062","10415"
"03.01.2021 04:00 - 03.01.2021 04:15","11074","10394"
"03.01.2021 04:15 - 03.01.2021 04:30","11121","10419"
"03.01.2021 04:30 - 03.01.2021 04:45","11128","10416"
"03.01.2021 04:45 - 03.01.2021 05:00","11134","10387"
"03.01.2021 05:00 - 03.01.2021 05:15","11129","10491"
"03.01.2021 05:15 - 03.01.2021 05:30","11145","10518"
"03.01.2021 05:30 - 03.01.2021 05:45","11175","10521"
"03.01.2021 05:45 - 03.01.2021 06:00","11201","10536"
"03.01.2021 06:00 - 03.01.2021 06:15","11239","10643"
"03.01.2021 06:15 - 03.01.2021 06:30","11284","10661"
"03.01.2021 06:30 - 03.01.2021 06:45","11330","10709"
"03.01.2021 06:45 - 03.01.2021 07:00","11377","10755"
"03.01.2021 07:00 - 03.01.2021 07:15","11457","10881"
"03.01.2021 07:15 - 03.01.2021 07:30","11586","10960"
"03.01.2021 07:30 - 03.01.2021 07:45","11707","11059"
"03.01.2021 07:45 - 03.01.2021 08:00","11812","11215"
"03.01.2021 08:00 - 03.01.2021 08:15","11960","11446"
"03.01.2021 08:15 - 03.01.2021 08:30","12160","11663"
"03.01.2021 08:30 - 03.01.2021 08:45","12311","11815"
"03.01.2021 08:45 - 03.01.2021 09:00","12431","11862"
"03.01.2021 09:00 - 03.01.2021 09:15","12586","12017"
"03.01.2021 09:15 - 03.01.2021 09:30","12746","12146"
"03.01.2021 09:30 - 03.01.2021 09:45","12874","12324"
"03.01.2021 09:45 - 03.01.2021 10:00","12989","12430"
"03.01.2021 10:00 - 03.01.2021 10:15","13078","12561"
"03.01.2021 10:15 - 03.01.2021 10:30","13140","12735"
"03.01.2021 10:30 - 03.01.2021 10:45","13176","12796"
"03.01.2021 10:45 - 03.01.2021 11:00","13189","12839"
"03.01.2021 11:00 - 03.01.2021 11:15","13219","12785"
"03.01.2021 11:15 - 03.01.2021 11:30","13257","12908"
"03.01.2021 11:30 - 03.01.2021 11:45","13275","13003"
"03.01.2021 11:45 - 03.01.2021 12:00","13295","13076"
"03.01.2021 12:00 - 03.01.2021 12:15","13311","13115"
"03.01.2021 12:15 - 03.01.2021 12:30","13355","13045"
"03.01.2021 12:30 - 03.01.2021 12:45","13354","13086"
"03.01.2021 12:45 - 03.01.2021 13:00","13381","13173"
"03.01.2021 13:00 - 03.01.2021 13:15","13430","13171"
"03.01.2021 13:15 - 03.01.2021 13:30","13469","13096"
"03.01.2021 13:30 - 03.01.2021 13:45","13483","13149"
"03.01.2021 13:45 - 03.01.2021 14:00","13475","13147"
"03.01.2021 14:00 - 03.01.2021 14:15","13547","13198"
"03.01.2021 14:15 - 03.01.2021 14:30","13647","13172"
"03.01.2021 14:30 - 03.01.2021 14:45","13727","13240"
"03.01.2021 14:45 - 03.01.2021 15:00","13785","13295"
"03.01.2021 15:00 - 03.01.2021 15:15","13869","13353"
"03.01.2021 15:15 - 03.01.2021 15:30","13943","13430"
"03.01.2021 15:30 - 03.01.2021 15:45","14043","13498"
"03.01.2021 15:45 - 03.01.2021 16:00","14103","13543"
"03.01.2021 16:00 - 03.01.2021 16:15","14139","13600"
"03.01.2021 16:15 - 03.01.2021 16:30","14225","13723"
"03.01.2021 16:30 - 03.01.2021 16:45","14392","13913"
"03.01.2021 16:45 - 03.01.2021 17:00","14638","14320"
"03.01.2021 17:00 - 03.01.2021 17:15","14892","14665"
"03.01.2021 17:15 - 03.01.2021 17:30","14978","15012"
"03.01.2021 17:30 - 03.01.2021 17:45","15128","15176"
"03.01.2021 17:45 - 03.01.2021 18:00","15153","15095"
"03.01.2021 18:00 - 03.01.2021 18:15","14853","14826"
"03.01.2021 18:15 - 03.01.2021 18:30","14435","14650"
"03.01.2021 18:30 - 03.01.2021 18:45","14355","14519"
"03.01.2021 18:45 - 03.01.2021 19:00","14224","14374"
"03.01.2021 19:00 - 03.01.2021 19:15","14112","14280"
"03.01.2021 19:15 - 03.01.2021 19:30","14018","14095"
"03.01.2021 19:30 - 03.01.2021 19:45","13926","13991"
"03.01.2021 19:45 - 03.01.2021 20:00","13823","13901"
"03.01.2021 20:00 - 03.01.2021 20:15","13720","13706"
"03.01.2021 20:15 - 03.01.2021 20:30","13656","13580"
"03.01.2021 20:30 - 03.01.2021 20:45","13542","13339"
"03.01.2021 20:45 - 03.01.2021 21:00","13379","13188"
"03.01.2021 21:00 - 03.01.2021 21:15","13229","12987"
"03.01.2021 21:15 - 03.01.2021 21:30","13097","12859"
"03.01.2021 21:30 - 03.01.2021 21:45","12986","12692"
"03.01.2021 21:45 - 03.01.2021 22:00","12884","12595"
"03.01.2021 22:00 - 03.01.2021 22:15","12799","12433"
"03.01.2021 22:15 - 03.01.2021 22:30","12701","12260"
"03.01.2021 22:30 - 03.01.2021 22:45","12562","12075"
"03.01.2021 22:45 - 03.01.2021 23:00","12390","11896"
"03.01.2021 23:00 - 03.01.2021 23:15","12271","11769"
"03.01.2021 23:15 - 03.01.2021 23:30","12195","11613"
"03.01.2021 23:30 - 03.01.2021 23:45","12071","11408"
"03.01.2021 23:45 - 04.01.2021 00:00","11912","11201"
"04.01.2021 00:00 - 04.01.2021 00:15","11827","11152"
"04.01.2021 00:15 - 04.01.2021 00:30","11894","11126"
"04.01.2021 00:30 - 04.01.2021 00:45","11916","11068"
"04.01.2021 00:45 - 04.01.2021 01:00","11822","10933"
"04.01.2021 01:00 - 04.01.2021 01:15","11698","10891"
"04.01.2021 01:15 - 04.01.2021 01:30","11696","10818"
"04.01.2021 01:30 - 04.01.2021 01:45","11677","10791"
"04.01.2021 01:45 - 04.01.2021 02:00","11635","10717"
"04.01.2021 02:00 - 04.01.2021 02:15","11618","10703"
"04.01.2021 02:15 - 04.01.2021 02:30","11623","10685"
"04.01.2021 02:30 - 04.01.2021 02:45","11599","10624"
"04.01.2021 02:45 - 04.01.2021 03:00","11572","10603"
"04.01.2021 03:00 - 04.01.2021 03:15","11570","10636"
"04.01.2021 03:15 - 04.01.2021 03:30","11569","10671"
"04.01.2021 03:30 - 04.01.2021 03:45","11565","10602"
"04.01.2021 03:45 - 04.01.2021 04:00","11553","10659"
"04.01.2021 04:00 - 04.01.2021 04:15","11572","10752"
"04.01.2021 04:15 - 04.01.2021 04:30","11641","10793"
"04.01.2021 04:30 - 04.01.2021 04:45","11707","10809"
"04.01.2021 04:45 - 04.01.2021 05:00","11763","10872"
"04.01.2021 05:00 - 04.01.2021 05:15","11851","11033"
"04.01.2021 05:15 - 04.01.2021 05:30","11976","11132"
"04.01.2021 05:30 - 04.01.2021 05:45","12156","11331"
"04.01.2021 05:45 - 04.01.2021 06:00","12343","11569"
"04.01.2021 06:00 - 04.01.2021 06:15","12588","11978"
"04.01.2021 06:15 - 04.01.2021 06:30","12903","12368"
"04.01.2021 06:30 - 04.01.2021 06:45","13168","12629"
"04.01.2021 06:45 - 04.01.2021 07:00","13428","12989"
"04.01.2021 07:00 - 04.01.2021 07:15","13743","13471"
"04.01.2021 07:15 - 04.01.2021 07:30","14131","13855"
"04.01.2021 07:30 - 04.01.2021 07:45","14483","14257"
"04.01.2021 07:45 - 04.01.2021 08:00","14841","14726"
"04.01.2021 08:00 - 04.01.2021 08:15","15187","15227"
"04.01.2021 08:15 - 04.01.2021 08:30","15510","15608"
"04.01.2021 08:30 - 04.01.2021 08:45","15760","15907"
"04.01.2021 08:45 - 04.01.2021 09:00","15939","16006"
"04.01.2021 09:00 - 04.01.2021 09:15","16056","16085"
"04.01.2021 09:15 - 04.01.2021 09:30","16155","16185"
"04.01.2021 09:30 - 04.01.2021 09:45","16219","16227"
"04.01.2021 09:45 - 04.01.2021 10:00","16242","16342"
"04.01.2021 10:00 - 04.01.2021 10:15","16233","16388"
"04.01.2021 10:15 - 04.01.2021 10:30","16174","16394"
"04.01.2021 10:30 - 04.01.2021 10:45","16124","16437"
"04.01.2021 10:45 - 04.01.2021 11:00","16095","16497"
"04.01.2021 11:00 - 04.01.2021 11:15","16035","16506"
"04.01.2021 11:15 - 04.01.2021 11:30","15979","16507"
"04.01.2021 11:30 - 04.01.2021 11:45","15971","16522"
"04.01.2021 11:45 - 04.01.2021 12:00","15971","16565"
"04.01.2021 12:00 - 04.01.2021 12:15","15975","16592"
"04.01.2021 12:15 - 04.01.2021 12:30","15956","16438"
"04.01.2021 12:30 - 04.01.2021 12:45","15881","16403"
"04.01.2021 12:45 - 04.01.2021 13:00","15815","16384"
"04.01.2021 13:00 - 04.01.2021 13:15","15829","16378"
"04.01.2021 13:15 - 04.01.2021 13:30","15888","16499"
"04.01.2021 13:30 - 04.01.2021 13:45","15924","16518"
"04.01.2021 13:45 - 04.01.2021 14:00","15881","16543"
"04.01.2021 14:00 - 04.01.2021 14:15","15875","16515"
"04.01.2021 14:15 - 04.01.2021 14:30","15975","16490"
"04.01.2021 14:30 - 04.01.2021 14:45","16064","16464"
"04.01.2021 14:45 - 04.01.2021 15:00","16132","16497"
"04.01.2021 15:00 - 04.01.2021 15:15","16215","16440"
"04.01.2021 15:15 - 04.01.2021 15:30","16259","16438"
"04.01.2021 15:30 - 04.01.2021 15:45","16309","16467"
"04.01.2021 15:45 - 04.01.2021 16:00","16396","16482"
"04.01.2021 16:00 - 04.01.2021 16:15","16442","16432"
"04.01.2021 16:15 - 04.01.2021 16:30","16457","16495"
"04.01.2021 16:30 - 04.01.2021 16:45","16557","16593"
"04.01.2021 16:45 - 04.01.2021 17:00","16769","16958"
"04.01.2021 17:00 - 04.01.2021 17:15","16983","17190"
"04.01.2021 17:15 - 04.01.2021 17:30","17032","17318"
"04.01.2021 17:30 - 04.01.2021 17:45","17155","17355"
"04.01.2021 17:45 - 04.01.2021 18:00","17101","17121"
"04.01.2021 18:00 - 04.01.2021 18:15","16685","16572"
"04.01.2021 18:15 - 04.01.2021 18:30","16107","16323"
"04.01.2021 18:30 - 04.01.2021 18:45","15938","16121"
"04.01.2021 18:45 - 04.01.2021 19:00","15771","16008"
"04.01.2021 19:00 - 04.01.2021 19:15","15607","15876"
"04.01.2021 19:15 - 04.01.2021 19:30","15342","15717"
"04.01.2021 19:30 - 04.01.2021 19:45","15163","15599"
"04.01.2021 19:45 - 04.01.2021 20:00","15108","15484"
"04.01.2021 20:00 - 04.01.2021 20:15","15028","15226"
"04.01.2021 20:15 - 04.01.2021 20:30","14917","14967"
"04.01.2021 20:30 - 04.01.2021 20:45","14793","14734"
"04.01.2021 20:45 - 04.01.2021 21:00","14629","14501"
"04.01.2021 21:00 - 04.01.2021 21:15","14467","14314"
"04.01.2021 21:15 - 04.01.2021 21:30","14330","14118"
"04.01.2021 21:30 - 04.01.2021 21:45","14194","13939"
"04.01.2021 21:45 - 04.01.2021 22:00","14020","13749"
"04.01.2021 22:00 - 04.01.2021 22:15","13843","13463"
"04.01.2021 22:15 - 04.01.2021 22:30","13616","13284"
"04.01.2021 22:30 - 04.01.2021 22:45","13399","13031"
"04.01.2021 22:45 - 04.01.2021 23:00","13190","12825"
"04.01.2021 23:00 - 04.01.2021 23:15","13076","12722"
"04.01.2021 23:15 - 04.01.2021 23:30","13007","12478"
"04.01.2021 23:30 - 04.01.2021 23:45","12875","12249"
"04.01.2021 23:45 - 05.01.2021 00:00","12720","12068"
"05.01.2021 00:00 - 05.01.2021 00:15","12646","11958"
"05.01.2021 00:15 - 05.01.2021 00:30","12681","11934"
"05.01.2021 00:30 - 05.01.2021 00:45","12665","11837"
"05.01.2021 00:45 - 05.01.2021 01:00","12581","11711"
"05.01.2021 01:00 - 05.01.2021 01:15","12455","11666"
"05.01.2021 01:15 - 05.01.2021 01:30","12349","11586"
"05.01.2021 01:30 - 05.01.2021 01:45","12234","11475"
"05.01.2021 01:45 - 05.01.2021 02:00","12136","11377"
"05.01.2021 02:00 - 05.01.2021 02:15","12063","11351"
"05.01.2021 02:15 - 05.01.2021 02:30","12032","11294"
"05.01.2021 02:30 - 05.01.2021 02:45","12001","11259"
"05.01.2021 02:45 - 05.01.2021 03:00","11963","11209"
"05.01.2021 03:00 - 05.01.2021 03:15","11941","11206"
"05.01.2021 03:15 - 05.01.2021 03:30","11921","11207"
"05.01.2021 03:30 - 05.01.2021 03:45","11906","11237"
"05.01.2021 03:45 - 05.01.2021 04:00","11883","11238"
"05.01.2021 04:00 - 05.01.2021 04:15","11884","11294"
"05.01.2021 04:15 - 05.01.2021 04:30","11914","11351"
"05.01.2021 04:30 - 05.01.2021 04:45","11931","11376"
"05.01.2021 04:45 - 05.01.2021 05:00","11966","11434"
"05.01.2021 05:00 - 05.01.2021 05:15","12034","11568"
"05.01.2021 05:15 - 05.01.2021 05:30","12179","11723"
"05.01.2021 05:30 - 05.01.2021 05:45","12339","11899"
"05.01.2021 05:45 - 05.01.2021 06:00","12489","12072"
"05.01.2021 06:00 - 05.01.2021 06:15","12713","12483"
"05.01.2021 06:15 - 05.01.2021 06:30","13009","12815"
"05.01.2021 06:30 - 05.01.2021 06:45","13268","13123"
"05.01.2021 06:45 - 05.01.2021 07:00","13521","13458"
"05.01.2021 07:00 - 05.01.2021 07:15","13838","13950"
"05.01.2021 07:15 - 05.01.2021 07:30","14207","14376"
"05.01.2021 07:30 - 05.01.2021 07:45","14570","14800"
"05.01.2021 07:45 - 05.01.2021 08:00","14911","15258"
"05.01.2021 08:00 - 05.01.2021 08:15","15248","15660"
"05.01.2021 08:15 - 05.01.2021 08:30","15644","15950"
"05.01.2021 08:30 - 05.01.2021 08:45","15933","16203"
"05.01.2021 08:45 - 05.01.2021 09:00","16085","16235"
"05.01.2021 09:00 - 05.01.2021 09:15","14896","16305"
"05.01.2021 09:15 - 05.01.2021 09:30","16398","16436"
"05.01.2021 09:30 - 05.01.2021 09:45","16482","16403"
"05.01.2021 09:45 - 05.01.2021 10:00","16525","16421"
"05.01.2021 10:00 - 05.01.2021 10:15","16564","16409"
"05.01.2021 10:15 - 05.01.2021 10:30","16579","16531"
"05.01.2021 10:30 - 05.01.2021 10:45","16579","16527"
"05.01.2021 10:45 - 05.01.2021 11:00","16576","16580"
"05.01.2021 11:00 - 05.01.2021 11:15","16569","16576"
"05.01.2021 11:15 - 05.01.2021 11:30","16505","16604"
"05.01.2021 11:30 - 05.01.2021 11:45","16448","16620"
"05.01.2021 11:45 - 05.01.2021 12:00","16615","16640"
"05.01.2021 12:00 - 05.01.2021 12:15","16675","16658"
