"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Germany (DE)","Actual Total Load [MW] - Germany (DE)"
"01.01.2021 00:00 - 01.01.2021 00:15","43567","44983"
"01.01.2021 00:15 - 01.01.2021 00:30","43371","44771"
"01.01.2021 00:30 - 01.01.2021 00:45","42884","44413"
"01.01.2021 00:45 - 01.01.2021 01:00","42803","44177"
"01.01.2021 01:00 - 01.01.2021 01:15","42096","43517"
"01.01.2021 01:15 - 01.01.2021 01:30","41824","42998"
"01.01.2021 01:30 - 01.01.2021 01:45","41426","42494"
"01.01.2021 01:45 - 01.01.2021 02:00","41051","42320"
"01.01.2021 02:00 - 01.01.2021 02:15","40781","41598"
"01.01.2021 02:15 - 01.01.2021 02:30","40703","41214"
"01.01.2021 02:30 - 01.01.2021 02:45","40420","40967"
"01.01.2021 02:45 - 01.01.2021 03:00","40150","40665"
"01.01.2021 03:00 - 01.01.2021 03:15","40235","40503"
"01.01.2021 03:15 - 01.01.2021 03:30","40297","40422"
"01.01.2021 03:30 - 01.01.2021 03:45","40093","40345"
"01.01.2021 03:45 - 01.01.2021 04:00","39967","40188"
"01.01.2021 04:00 - 01.01.2021 04:15","40011","40503"
"01.01.2021 04:15 - 01.01.2021 04:30","39861","40371"
"01.01.2021 04:30 - 01.01.2021 04:45","39765","40318"
"01.01.2021 04:45 - 01.01.2021 05:00","39750","40080"
"01.01.2021 05:00 - 01.01.2021 05:15","39671","39909"
"01.01.2021 05:15 - 01.01.2021 05:30","39326","39540"
"01.01.2021 05:30 - 01.01.2021 05:45","39110","39534"
"01.01.2021 05:45 - 01.01.2021 06:00","38660","39584"
"01.01.2021 06:00 - 01.01.2021 06:15","38218","39136"
"01.01.2021 06:15 - 01.01.2021 06:30","38021","39015"
"01.01.2021 06:30 - 01.01.2021 06:45","38114","38963"
"01.01.2021 06:45 - 01.01.2021 07:00","37732","39054"
"01.01.2021 07:00 - 01.01.2021 07:15","38052","39237"
"01.01.2021 07:15 - 01.01.2021 07:30","38127","39410"
"01.01.2021 07:30 - 01.01.2021 07:45","38499","39638"
"01.01.2021 07:45 - 01.01.2021 08:00","38781","39804"
"01.01.2021 08:00 - 01.01.2021 08:15","39410","40153"
"01.01.2021 08:15 - 01.01.2021 08:30","39554","40338"
"01.01.2021 08:30 - 01.01.2021 08:45","40313","40716"
"01.01.2021 08:45 - 01.01.2021 09:00","40435","41307"
"01.01.2021 09:00 - 01.01.2021 09:15","41397","42213"
"01.01.2021 09:15 - 01.01.2021 09:30","41953","42818"
"01.01.2021 09:30 - 01.01.2021 09:45","42469","43151"
"01.01.2021 09:45 - 01.01.2021 10:00","42718","43741"
"01.01.2021 10:00 - 01.01.2021 10:15","43247","44645"
"01.01.2021 10:15 - 01.01.2021 10:30","44364","45361"
"01.01.2021 10:30 - 01.01.2021 10:45","44928","45836"
"01.01.2021 10:45 - 01.01.2021 11:00","45292","46419"
"01.01.2021 11:00 - 01.01.2021 11:15","46179","47068"
"01.01.2021 11:15 - 01.01.2021 11:30","46771","47900"
"01.01.2021 11:30 - 01.01.2021 11:45","47202","48491"
"01.01.2021 11:45 - 01.01.2021 12:00","47281","48689"
"01.01.2021 12:00 - 01.01.2021 12:15","47071","49284"
