"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Germany (DE)","Actual Total Load [MW] - Germany (DE)"
"01.01.2020 09:00 - 01.01.2020 09:15","46413","41517"
"01.01.2020 09:15 - 01.01.2020 09:30","47333","42138"
"01.01.2020 09:30 - 01.01.2020 09:45","47784","42690"
"01.01.2020 09:45 - 01.01.2020 10:00","47898","43609"
"01.01.2020 10:00 - 01.01.2020 10:15","48639","44015"
"01.01.2020 10:15 - 01.01.2020 10:30","49130","44398"
"01.01.2020 10:30 - 01.01.2020 10:45","49422","44894"
"01.01.2020 10:45 - 01.01.2020 11:00","49864","45394"
"01.01.2020 11:00 - 01.01.2020 11:15","50423","46125"
"01.01.2020 11:15 - 01.01.2020 11:30","50851","46667"
"01.01.2020 11:30 - 01.01.2020 11:45","51380","47079"
"01.01.2020 11:45 - 01.01.2020 12:00","51582","47346"
"01.01.2020 12:00 - 01.01.2020 12:15","51473","48033"
"01.01.2020 12:15 - 01.01.2020 12:30","51150","48298"
"01.01.2020 12:30 - 01.01.2020 12:45","50890","48271"
"01.01.2020 12:45 - 01.01.2020 13:00","50716","48128"
"01.01.2020 13:00 - 01.01.2020 13:15","50302","48159"
"01.01.2020 13:15 - 01.01.2020 13:30","49798","47944"
"01.01.2020 13:30 - 01.01.2020 13:45","49523","47823"
"01.01.2020 13:45 - 01.01.2020 14:00","49098","47557"
"01.01.2020 14:00 - 01.01.2020 14:15","48946","46758"
"01.01.2020 14:15 - 01.01.2020 14:30","48781","46366"
"01.01.2020 14:30 - 01.01.2020 14:45","48504","45808"
"01.01.2020 14:45 - 01.01.2020 15:00","48479","45785"
"01.01.2020 15:00 - 01.01.2020 15:15","48854","46171"
"01.01.2020 15:15 - 01.01.2020 15:30","48536","46081"
"01.01.2020 15:30 - 01.01.2020 15:45","48733","46260"
"01.01.2020 15:45 - 01.01.2020 16:00","48700","46614"
"01.01.2020 16:00 - 01.01.2020 16:15","49127","47343"
"01.01.2020 16:15 - 01.01.2020 16:30","49297","48197"
"01.01.2020 16:30 - 01.01.2020 16:45","50084","49628"
"01.01.2020 16:45 - 01.01.2020 17:00","50884","50951"
"01.01.2020 17:00 - 01.01.2020 17:15","52159","52261"
"01.01.2020 17:15 - 01.01.2020 17:30","52809","52687"
"01.01.2020 17:30 - 01.01.2020 17:45","53306","53231"
"01.01.2020 17:45 - 01.01.2020 18:00","53767","53523"
"01.01.2020 18:00 - 01.01.2020 18:15","54286","53952"
"01.01.2020 18:15 - 01.01.2020 18:30","54622","53814"
"01.01.2020 18:30 - 01.01.2020 18:45","54395","53907"
"01.01.2020 18:45 - 01.01.2020 19:00","54295","53438"
"01.01.2020 19:00 - 01.01.2020 19:15","54429","53269"
"01.01.2020 19:15 - 01.01.2020 19:30","53969","52671"
"01.01.2020 19:30 - 01.01.2020 19:45","53733","52342"
"01.01.2020 19:45 - 01.01.2020 20:00","53439","51789"
"01.01.2020 20:00 - 01.01.2020 20:15","52971","51260"
"01.01.2020 20:15 - 01.01.2020 20:30","52392","50774"
"01.01.2020 20:30 - 01.01.2020 20:45","51998","50070"
"01.01.2020 20:45 - 01.01.2020 21:00","51564","49570"
"01.01.2020 21:00 - 01.01.2020 21:15","51306","49349"
"01.01.2020 21:15 - 01.01.2020 21:30","50967","48995"
"01.01.2020 21:30 - 01.01.2020 21:45","50678","49039"
"01.01.2020 21:45 - 01.01.2020 22:00","50635","48717"
"01.01.2020 22:00 - 01.01.2020 22:15","51098","49034"
"01.01.2020 22:15 - 01.01.2020 22:30","50669","48533"
"01.01.2020 22:30 - 01.01.2020 22:45","49987","47770"
"01.01.2020 22:45 - 01.01.2020 23:00","49389","47062"
"01.01.2020 23:00 - 01.01.2020 23:15","48568","46224"
"01.01.2020 23:15 - 01.01.2020 23:30","48003","45809"
"01.01.2020 23:30 - 01.01.2020 23:45","47252","44976"
"01.01.2020 23:45 - 02.01.2020 00:00","46545","44383"
"02.01.2020 00:00 - 02.01.2020 00:15","46904","44337"
"02.01.2020 00:15 - 02.01.2020 00:30","46028","44168"
"02.01.2020 00:30 - 02.01.2020 00:45","45637","43955"
"02.01.2020 00:45 - 02.01.2020 01:00","45270","43376"
"02.01.2020 01:00 - 02.01.2020 01:15","44748","42856"
"02.01.2020 01:15 - 02.01.2020 01:30","44539","42592"
"02.01.2020 01:30 - 02.01.2020 01:45","44257","42338"
"02.01.2020 01:45 - 02.01.2020 02:00","43938","42305"
"02.01.2020 02:00 - 02.01.2020 02:15","43877","42106"
"02.01.2020 02:15 - 02.01.2020 02:30","44049","41865"
"02.01.2020 02:30 - 02.01.2020 02:45","44087","41890"
"02.01.2020 02:45 - 02.01.2020 03:00","44052","41840"
"02.01.2020 03:00 - 02.01.2020 03:15","44179","42048"
"02.01.2020 03:15 - 02.01.2020 03:30","44169","41779"
"02.01.2020 03:30 - 02.01.2020 03:45","44324","41964"
"02.01.2020 03:45 - 02.01.2020 04:00","44548","42205"
"02.01.2020 04:00 - 02.01.2020 04:15","44793","42581"
"02.01.2020 04:15 - 02.01.2020 04:30","45080","42779"
"02.01.2020 04:30 - 02.01.2020 04:45","45374","43327"
"02.01.2020 04:45 - 02.01.2020 05:00","46057","43746"
"02.01.2020 05:00 - 02.01.2020 05:15","47067","44607"
"02.01.2020 05:15 - 02.01.2020 05:30","47618","44932"
"02.01.2020 05:30 - 02.01.2020 05:45","48698","45808"
"02.01.2020 05:45 - 02.01.2020 06:00","50022","46358"
"02.01.2020 06:00 - 02.01.2020 06:15","52522","47838"
"02.01.2020 06:15 - 02.01.2020 06:30","53810","49190"
"02.01.2020 06:30 - 02.01.2020 06:45","55381","50404"
"02.01.2020 06:45 - 02.01.2020 07:00","56691","51842"
"02.01.2020 07:00 - 02.01.2020 07:15","58290","53245"
"02.01.2020 07:15 - 02.01.2020 07:30","59246","54338"
"02.01.2020 07:30 - 02.01.2020 07:45","59909","55378"
"02.01.2020 07:45 - 02.01.2020 08:00","60631","56107"
"02.01.2020 08:00 - 02.01.2020 08:15","61301","57145"
"02.01.2020 08:15 - 02.01.2020 08:30","61347","57468"
"02.01.2020 08:30 - 02.01.2020 08:45","61814","58150"
"02.01.2020 08:45 - 02.01.2020 09:00","62018","58753"
"02.01.2020 09:00 - 02.01.2020 09:15","61965","59428"
"02.01.2020 09:15 - 02.01.2020 09:30","61988","59807"
"02.01.2020 09:30 - 02.01.2020 09:45","62323","60070"
"02.01.2020 09:45 - 02.01.2020 10:00","62385","60213"
"02.01.2020 10:00 - 02.01.2020 10:15","62591","60551"
"02.01.2020 10:15 - 02.01.2020 10:30","62838","60578"
"02.01.2020 10:30 - 02.01.2020 10:45","62602","60962"
"02.01.2020 10:45 - 02.01.2020 11:00","62657","61293"
"02.01.2020 11:00 - 02.01.2020 11:15","62890","61384"
"02.01.2020 11:15 - 02.01.2020 11:30","62977","61628"
"02.01.2020 11:30 - 02.01.2020 11:45","63091","61848"
"02.01.2020 11:45 - 02.01.2020 12:00","63055","62039"
"02.01.2020 12:00 - 02.01.2020 12:15","62970","62126"
"02.01.2020 12:15 - 02.01.2020 12:30","62738","61930"
"02.01.2020 12:30 - 02.01.2020 12:45","62666","61992"
"02.01.2020 12:45 - 02.01.2020 13:00","62538","61740"
"02.01.2020 13:00 - 02.01.2020 13:15","62342","61540"
"02.01.2020 13:15 - 02.01.2020 13:30","62131","61348"
"02.01.2020 13:30 - 02.01.2020 13:45","62044","60998"
"02.01.2020 13:45 - 02.01.2020 14:00","61539","60498"
"02.01.2020 14:00 - 02.01.2020 14:15","61542","60435"
"02.01.2020 14:15 - 02.01.2020 14:30","61436","60370"
"02.01.2020 14:30 - 02.01.2020 14:45","61252","60221"
"02.01.2020 14:45 - 02.01.2020 15:00","61207","59965"
"02.01.2020 15:00 - 02.01.2020 15:15","61221","60270"
"02.01.2020 15:15 - 02.01.2020 15:30","61110","60202"
"02.01.2020 15:30 - 02.01.2020 15:45","61151","60310"
"02.01.2020 15:45 - 02.01.2020 16:00","60786","60533"
"02.01.2020 16:00 - 02.01.2020 16:15","61102","61072"
"02.01.2020 16:15 - 02.01.2020 16:30","61192","61672"
"02.01.2020 16:30 - 02.01.2020 16:45","61731","62435"
"02.01.2020 16:45 - 02.01.2020 17:00","62476","63561"
"02.01.2020 17:00 - 02.01.2020 17:15","63403","64650"
"02.01.2020 17:15 - 02.01.2020 17:30","63718","65080"
"02.01.2020 17:30 - 02.01.2020 17:45","63921","65433"
"02.01.2020 17:45 - 02.01.2020 18:00","64045","65584"
"02.01.2020 18:00 - 02.01.2020 18:15","63979","65331"
"02.01.2020 18:15 - 02.01.2020 18:30","63759","65345"
"02.01.2020 18:30 - 02.01.2020 18:45","63652","65136"
"02.01.2020 18:45 - 02.01.2020 19:00","63359","65029"
"02.01.2020 19:00 - 02.01.2020 19:15","63188","64454"
"02.01.2020 19:15 - 02.01.2020 19:30","62466","64038"
"02.01.2020 19:30 - 02.01.2020 19:45","62124","63834"
"02.01.2020 19:45 - 02.01.2020 20:00","61676","63227"
"02.01.2020 20:00 - 02.01.2020 20:15","60637","61806"
"02.01.2020 20:15 - 02.01.2020 20:30","59554","60433"
"02.01.2020 20:30 - 02.01.2020 20:45","58848","59593"
"02.01.2020 20:45 - 02.01.2020 21:00","58075","58823"
"02.01.2020 21:00 - 02.01.2020 21:15","57452","57965"
"02.01.2020 21:15 - 02.01.2020 21:30","56771","57792"
"02.01.2020 21:30 - 02.01.2020 21:45","56092","57080"
"02.01.2020 21:45 - 02.01.2020 22:00","55790","56765"
"02.01.2020 22:00 - 02.01.2020 22:15","55438","56755"
"02.01.2020 22:15 - 02.01.2020 22:30","54792","56142"
"02.01.2020 22:30 - 02.01.2020 22:45","53998","55124"
"02.01.2020 22:45 - 02.01.2020 23:00","53200","54307"
"02.01.2020 23:00 - 02.01.2020 23:15","52437","53240"
"02.01.2020 23:15 - 02.01.2020 23:30","51489","52419"
"02.01.2020 23:30 - 02.01.2020 23:45","50711","51650"
"02.01.2020 23:45 - 03.01.2020 00:00","50152","51068"
"03.01.2020 00:00 - 03.01.2020 00:15","50291","49966"
"03.01.2020 00:15 - 03.01.2020 00:30","50034","49235"
"03.01.2020 00:30 - 03.01.2020 00:45","49590","49123"
"03.01.2020 00:45 - 03.01.2020 01:00","49060","48572"
"03.01.2020 01:00 - 03.01.2020 01:15","48488","48227"
"03.01.2020 01:15 - 03.01.2020 01:30","48046","47753"
"03.01.2020 01:30 - 03.01.2020 01:45","47836","47657"
"03.01.2020 01:45 - 03.01.2020 02:00","47487","47345"
"03.01.2020 02:00 - 03.01.2020 02:15","47199","47442"
"03.01.2020 02:15 - 03.01.2020 02:30","47277","46928"
"03.01.2020 02:30 - 03.01.2020 02:45","47038","46912"
"03.01.2020 02:45 - 03.01.2020 03:00","47090","46734"
"03.01.2020 03:00 - 03.01.2020 03:15","47031","46771"
"03.01.2020 03:15 - 03.01.2020 03:30","47214","46754"
"03.01.2020 03:30 - 03.01.2020 03:45","47191","46828"
"03.01.2020 03:45 - 03.01.2020 04:00","47556","47048"
"03.01.2020 04:00 - 03.01.2020 04:15","47521","47305"
"03.01.2020 04:15 - 03.01.2020 04:30","47825","47561"
"03.01.2020 04:30 - 03.01.2020 04:45","47902","48000"
"03.01.2020 04:45 - 03.01.2020 05:00","48514","48297"
"03.01.2020 05:00 - 03.01.2020 05:15","49441","49014"
"03.01.2020 05:15 - 03.01.2020 05:30","49587","49402"
"03.01.2020 05:30 - 03.01.2020 05:45","50461","50136"
"03.01.2020 05:45 - 03.01.2020 06:00","51304","50900"
"03.01.2020 06:00 - 03.01.2020 06:15","53572","52189"
"03.01.2020 06:15 - 03.01.2020 06:30","54707","53234"
"03.01.2020 06:30 - 03.01.2020 06:45","56164","54262"
"03.01.2020 06:45 - 03.01.2020 07:00","57198","55257"
"03.01.2020 07:00 - 03.01.2020 07:15","58941","56318"
"03.01.2020 07:15 - 03.01.2020 07:30","59933","57267"
"03.01.2020 07:30 - 03.01.2020 07:45","62123","58487"
"03.01.2020 07:45 - 03.01.2020 08:00","62929","59336"
"03.01.2020 08:00 - 03.01.2020 08:15","63558","60155"
"03.01.2020 08:15 - 03.01.2020 08:30","63530","60684"
"03.01.2020 08:30 - 03.01.2020 08:45","63918","61170"
"03.01.2020 08:45 - 03.01.2020 09:00","64146","61447"
"03.01.2020 09:00 - 03.01.2020 09:15","63724","62076"
"03.01.2020 09:15 - 03.01.2020 09:30","63904","62550"
"03.01.2020 09:30 - 03.01.2020 09:45","64170","63072"
"03.01.2020 09:45 - 03.01.2020 10:00","64150","63218"
"03.01.2020 10:00 - 03.01.2020 10:15","64320","63597"
"03.01.2020 10:15 - 03.01.2020 10:30","64763","63745"
"03.01.2020 10:30 - 03.01.2020 10:45","64430","63843"
"03.01.2020 10:45 - 03.01.2020 11:00","64373","64033"
"03.01.2020 11:00 - 03.01.2020 11:15","64564","64713"
"03.01.2020 11:15 - 03.01.2020 11:30","64658","65071"
"03.01.2020 11:30 - 03.01.2020 11:45","64763","65327"
"03.01.2020 11:45 - 03.01.2020 12:00","64718","65367"
"03.01.2020 12:00 - 03.01.2020 12:15","64621","65458"
"03.01.2020 12:15 - 03.01.2020 12:30","64192","65335"
"03.01.2020 12:30 - 03.01.2020 12:45","64184","65108"
"03.01.2020 12:45 - 03.01.2020 13:00","63975","64792"
"03.01.2020 13:00 - 03.01.2020 13:15","63648","64540"
"03.01.2020 13:15 - 03.01.2020 13:30","63086","64039"
"03.01.2020 13:30 - 03.01.2020 13:45","62578","63799"
"03.01.2020 13:45 - 03.01.2020 14:00","62051","63003"
"03.01.2020 14:00 - 03.01.2020 14:15","61794","63293"
"03.01.2020 14:15 - 03.01.2020 14:30","61690","62793"
"03.01.2020 14:30 - 03.01.2020 14:45","61552","62675"
"03.01.2020 14:45 - 03.01.2020 15:00","61261","62519"
"03.01.2020 15:00 - 03.01.2020 15:15","61287","62437"
"03.01.2020 15:15 - 03.01.2020 15:30","61093","62303"
"03.01.2020 15:30 - 03.01.2020 15:45","61120","62333"
"03.01.2020 15:45 - 03.01.2020 16:00","60904","62185"
"03.01.2020 16:00 - 03.01.2020 16:15","61117","62598"
"03.01.2020 16:15 - 03.01.2020 16:30","61196","62537"
"03.01.2020 16:30 - 03.01.2020 16:45","62019","63232"
"03.01.2020 16:45 - 03.01.2020 17:00","62628","64071"
"03.01.2020 17:00 - 03.01.2020 17:15","63446","64916"
"03.01.2020 17:15 - 03.01.2020 17:30","63812","65071"
"03.01.2020 17:30 - 03.01.2020 17:45","63866","65010"
"03.01.2020 17:45 - 03.01.2020 18:00","63813","65059"
"03.01.2020 18:00 - 03.01.2020 18:15","63802","65140"
"03.01.2020 18:15 - 03.01.2020 18:30","63805","64767"
"03.01.2020 18:30 - 03.01.2020 18:45","63440","64643"
"03.01.2020 18:45 - 03.01.2020 19:00","63048","64409"
"03.01.2020 19:00 - 03.01.2020 19:15","62888","63719"
"03.01.2020 19:15 - 03.01.2020 19:30","62063","63261"
"03.01.2020 19:30 - 03.01.2020 19:45","61701","62738"
"03.01.2020 19:45 - 03.01.2020 20:00","61408","61912"
"03.01.2020 20:00 - 03.01.2020 20:15","60051","60472"
"03.01.2020 20:15 - 03.01.2020 20:30","58997","59649"
"03.01.2020 20:30 - 03.01.2020 20:45","58227","58842"
"03.01.2020 20:45 - 03.01.2020 21:00","57368","57897"
"03.01.2020 21:00 - 03.01.2020 21:15","56625","56751"
"03.01.2020 21:15 - 03.01.2020 21:30","56139","56385"
"03.01.2020 21:30 - 03.01.2020 21:45","55458","55640"
"03.01.2020 21:45 - 03.01.2020 22:00","55168","55145"
"03.01.2020 22:00 - 03.01.2020 22:15","55161","55218"
"03.01.2020 22:15 - 03.01.2020 22:30","54672","54953"
"03.01.2020 22:30 - 03.01.2020 22:45","53989","54235"
"03.01.2020 22:45 - 03.01.2020 23:00","53184","53519"
"03.01.2020 23:00 - 03.01.2020 23:15","52397","52700"
"03.01.2020 23:15 - 03.01.2020 23:30","51569","51878"
"03.01.2020 23:30 - 03.01.2020 23:45","50861","50821"
"03.01.2020 23:45 - 04.01.2020 00:00","50438","50480"
"04.01.2020 00:00 - 04.01.2020 00:15","50946","49986"
"04.01.2020 00:15 - 04.01.2020 00:30","51106","48888"
"04.01.2020 00:30 - 04.01.2020 00:45","50719","48323"
"04.01.2020 00:45 - 04.01.2020 01:00","50356","48329"
"04.01.2020 01:00 - 04.01.2020 01:15","49521","47433"
"04.01.2020 01:15 - 04.01.2020 01:30","49029","46898"
"04.01.2020 01:30 - 04.01.2020 01:45","48990","46334"
"04.01.2020 01:45 - 04.01.2020 02:00","48571","46409"
"04.01.2020 02:00 - 04.01.2020 02:15","48303","46218"
"04.01.2020 02:15 - 04.01.2020 02:30","48090","45682"
"04.01.2020 02:30 - 04.01.2020 02:45","47996","45898"
"04.01.2020 02:45 - 04.01.2020 03:00","47955","45631"
"04.01.2020 03:00 - 04.01.2020 03:15","47893","45453"
"04.01.2020 03:15 - 04.01.2020 03:30","47819","45334"
"04.01.2020 03:30 - 04.01.2020 03:45","47742","45406"
"04.01.2020 03:45 - 04.01.2020 04:00","47767","45689"
"04.01.2020 04:00 - 04.01.2020 04:15","47956","46044"
"04.01.2020 04:15 - 04.01.2020 04:30","48212","46098"
"04.01.2020 04:30 - 04.01.2020 04:45","48276","46482"
"04.01.2020 04:45 - 04.01.2020 05:00","48078","46500"
"04.01.2020 05:00 - 04.01.2020 05:15","48316","46748"
"04.01.2020 05:15 - 04.01.2020 05:30","48123","46864"
"04.01.2020 05:30 - 04.01.2020 05:45","48099","46826"
"04.01.2020 05:45 - 04.01.2020 06:00","48001","46825"
"04.01.2020 06:00 - 04.01.2020 06:15","47778","46841"
"04.01.2020 06:15 - 04.01.2020 06:30","48075","46931"
"04.01.2020 06:30 - 04.01.2020 06:45","48590","47287"
"04.01.2020 06:45 - 04.01.2020 07:00","49052","47942"
"04.01.2020 07:00 - 04.01.2020 07:15","49538","48919"
"04.01.2020 07:15 - 04.01.2020 07:30","49699","49464"
"04.01.2020 07:30 - 04.01.2020 07:45","50743","50517"
"04.01.2020 07:45 - 04.01.2020 08:00","51783","51285"
"04.01.2020 08:00 - 04.01.2020 08:15","52576","52203"
"04.01.2020 08:15 - 04.01.2020 08:30","53603","52544"
"04.01.2020 08:30 - 04.01.2020 08:45","53954","53105"
"04.01.2020 08:45 - 04.01.2020 09:00","54642","54051"
"04.01.2020 09:00 - 04.01.2020 09:15","55335","55164"
"04.01.2020 09:15 - 04.01.2020 09:30","55985","55931"
"04.01.2020 09:30 - 04.01.2020 09:45","56217","56605"
"04.01.2020 09:45 - 04.01.2020 10:00","56207","57382"
"04.01.2020 10:00 - 04.01.2020 10:15","56609","58450"
"04.01.2020 10:15 - 04.01.2020 10:30","56863","59002"
"04.01.2020 10:30 - 04.01.2020 10:45","57091","59438"
"04.01.2020 10:45 - 04.01.2020 11:00","57005","59874"
"04.01.2020 11:00 - 04.01.2020 11:15","57237","60080"
"04.01.2020 11:15 - 04.01.2020 11:30","57651","60652"
"04.01.2020 11:30 - 04.01.2020 11:45","58090","61173"
"04.01.2020 11:45 - 04.01.2020 12:00","58036","61338"
"04.01.2020 12:00 - 04.01.2020 12:15","58139","61351"
"04.01.2020 12:15 - 04.01.2020 12:30","57919","61651"
"04.01.2020 12:30 - 04.01.2020 12:45","57789","61865"
"04.01.2020 12:45 - 04.01.2020 13:00","57544","61400"
"04.01.2020 13:00 - 04.01.2020 13:15","57058","60852"
"04.01.2020 13:15 - 04.01.2020 13:30","56796","60453"
"04.01.2020 13:30 - 04.01.2020 13:45","56418","59964"
"04.01.2020 13:45 - 04.01.2020 14:00","55917","59604"
"04.01.2020 14:00 - 04.01.2020 14:15","55653","59624"
"04.01.2020 14:15 - 04.01.2020 14:30","55397","59508"
"04.01.2020 14:30 - 04.01.2020 14:45","55462","59010"
"04.01.2020 14:45 - 04.01.2020 15:00","55105","58596"
"04.01.2020 15:00 - 04.01.2020 15:15","55344","59031"
"04.01.2020 15:15 - 04.01.2020 15:30","55106","58926"
"04.01.2020 15:30 - 04.01.2020 15:45","55307","58671"
"04.01.2020 15:45 - 04.01.2020 16:00","55542","58682"
"04.01.2020 16:00 - 04.01.2020 16:15","55810","59238"
"04.01.2020 16:15 - 04.01.2020 16:30","55853","59543"
"04.01.2020 16:30 - 04.01.2020 16:45","56968","60205"
"04.01.2020 16:45 - 04.01.2020 17:00","57751","61251"
"04.01.2020 17:00 - 04.01.2020 17:15","58899","61976"
"04.01.2020 17:15 - 04.01.2020 17:30","59422","62713"
"04.01.2020 17:30 - 04.01.2020 17:45","59733","62884"
"04.01.2020 17:45 - 04.01.2020 18:00","60022","63071"
"04.01.2020 18:00 - 04.01.2020 18:15","60426","63130"
"04.01.2020 18:15 - 04.01.2020 18:30","60398","62909"
"04.01.2020 18:30 - 04.01.2020 18:45","60280","62381"
"04.01.2020 18:45 - 04.01.2020 19:00","59784","61851"
"04.01.2020 19:00 - 04.01.2020 19:15","59666","61459"
"04.01.2020 19:15 - 04.01.2020 19:30","59066","60603"
"04.01.2020 19:30 - 04.01.2020 19:45","58607","59990"
"04.01.2020 19:45 - 04.01.2020 20:00","57964","58999"
"04.01.2020 20:00 - 04.01.2020 20:15","56965","58126"
"04.01.2020 20:15 - 04.01.2020 20:30","56185","56981"
"04.01.2020 20:30 - 04.01.2020 20:45","55425","56035"
"04.01.2020 20:45 - 04.01.2020 21:00","54517","55144"
"04.01.2020 21:00 - 04.01.2020 21:15","54216","54591"
"04.01.2020 21:15 - 04.01.2020 21:30","53765","54178"
"04.01.2020 21:30 - 04.01.2020 21:45","53348","53848"
"04.01.2020 21:45 - 04.01.2020 22:00","53172","53217"
"04.01.2020 22:00 - 04.01.2020 22:15","53725","53206"
"04.01.2020 22:15 - 04.01.2020 22:30","53495","52746"
"04.01.2020 22:30 - 04.01.2020 22:45","52860","52018"
"04.01.2020 22:45 - 04.01.2020 23:00","52273","51569"
"04.01.2020 23:00 - 04.01.2020 23:15","51508","50523"
"04.01.2020 23:15 - 04.01.2020 23:30","50869","49779"
"04.01.2020 23:30 - 04.01.2020 23:45","50155","49119"
"04.01.2020 23:45 - 05.01.2020 00:00","49438","48400"
"05.01.2020 00:00 - 05.01.2020 00:15","43426","47260"
"05.01.2020 00:15 - 05.01.2020 00:30","42947","46671"
"05.01.2020 00:30 - 05.01.2020 00:45","42555","46375"
"05.01.2020 00:45 - 05.01.2020 01:00","42267","45800"
"05.01.2020 01:00 - 05.01.2020 01:15","41272","44903"
"05.01.2020 01:15 - 05.01.2020 01:30","41121","44356"
"05.01.2020 01:30 - 05.01.2020 01:45","40744","44138"
"05.01.2020 01:45 - 05.01.2020 02:00","40646","43987"
"05.01.2020 02:00 - 05.01.2020 02:15","40433","44099"
"05.01.2020 02:15 - 05.01.2020 02:30","40315","43958"
"05.01.2020 02:30 - 05.01.2020 02:45","40036","43622"
"05.01.2020 02:45 - 05.01.2020 03:00","40065","43277"
"05.01.2020 03:00 - 05.01.2020 03:15","39846","43058"
"05.01.2020 03:15 - 05.01.2020 03:30","39825","42907"
"05.01.2020 03:30 - 05.01.2020 03:45","39720","42553"
"05.01.2020 03:45 - 05.01.2020 04:00","39775","42432"
"05.01.2020 04:00 - 05.01.2020 04:15","39993","42820"
"05.01.2020 04:15 - 05.01.2020 04:30","40102","42869"
"05.01.2020 04:30 - 05.01.2020 04:45","40009","42523"
"05.01.2020 04:45 - 05.01.2020 05:00","39891","42558"
"05.01.2020 05:00 - 05.01.2020 05:15","40161","42643"
"05.01.2020 05:15 - 05.01.2020 05:30","39824","42439"
"05.01.2020 05:30 - 05.01.2020 05:45","39595","42096"
"05.01.2020 05:45 - 05.01.2020 06:00","39573","41618"
"05.01.2020 06:00 - 05.01.2020 06:15","39513","41216"
"05.01.2020 06:15 - 05.01.2020 06:30","39182","41065"
"05.01.2020 06:30 - 05.01.2020 06:45","39272","41253"
"05.01.2020 06:45 - 05.01.2020 07:00","39656","41718"
"05.01.2020 07:00 - 05.01.2020 07:15","40424","42235"
"05.01.2020 07:15 - 05.01.2020 07:30","40827","42600"
"05.01.2020 07:30 - 05.01.2020 07:45","41542","42588"
"05.01.2020 07:45 - 05.01.2020 08:00","42195","43455"
"05.01.2020 08:00 - 05.01.2020 08:15","42690","43965"
"05.01.2020 08:15 - 05.01.2020 08:30","43365","44474"
"05.01.2020 08:30 - 05.01.2020 08:45","43936","45268"
"05.01.2020 08:45 - 05.01.2020 09:00","44444","46025"
"05.01.2020 09:00 - 05.01.2020 09:15","45317","47042"
"05.01.2020 09:15 - 05.01.2020 09:30","46250","47771"
"05.01.2020 09:30 - 05.01.2020 09:45","46700","48576"
"05.01.2020 09:45 - 05.01.2020 10:00","47291","49399"
"05.01.2020 10:00 - 05.01.2020 10:15","47712","50008"
"05.01.2020 10:15 - 05.01.2020 10:30","48365","50515"
"05.01.2020 10:30 - 05.01.2020 10:45","48975","51445"
"05.01.2020 10:45 - 05.01.2020 11:00","49377","51932"
"05.01.2020 11:00 - 05.01.2020 11:15","49961","52571"
"05.01.2020 11:15 - 05.01.2020 11:30","50517","53377"
"05.01.2020 11:30 - 05.01.2020 11:45","51225","53836"
"05.01.2020 11:45 - 05.01.2020 12:00","51354","54015"
"05.01.2020 12:00 - 05.01.2020 12:15","51101","54276"
