"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Germany (DE)","Actual Total Load [MW] - Germany (DE)"
"01.01.2020 00:00 - 01.01.2020 00:15","46215","43857"
"01.01.2020 00:15 - 01.01.2020 00:30","45703","43634"
"01.01.2020 00:30 - 01.01.2020 00:45","45226","43332"
"01.01.2020 00:45 - 01.01.2020 01:00","44742","43153"
"01.01.2020 01:00 - 01.01.2020 01:15","43915","43024"
"01.01.2020 01:15 - 01.01.2020 01:30","43770","42818"
"01.01.2020 01:30 - 01.01.2020 01:45","43267","42459"
"01.01.2020 01:45 - 01.01.2020 02:00","42934","42149"
"01.01.2020 02:00 - 01.01.2020 02:15","42718","41971"
"01.01.2020 02:15 - 01.01.2020 02:30","42578","41691"
"01.01.2020 02:30 - 01.01.2020 02:45","42492","41271"
"01.01.2020 02:45 - 01.01.2020 03:00","42434","41019"
"01.01.2020 03:00 - 01.01.2020 03:15","42454","40724"
"01.01.2020 03:15 - 01.01.2020 03:30","42516","40395"
"01.01.2020 03:30 - 01.01.2020 03:45","42435","40142"
"01.01.2020 03:45 - 01.01.2020 04:00","42388","39946"
"01.01.2020 04:00 - 01.01.2020 04:15","42479","40407"
"01.01.2020 04:15 - 01.01.2020 04:30","42587","40287"
"01.01.2020 04:30 - 01.01.2020 04:45","42568","40293"
"01.01.2020 04:45 - 01.01.2020 05:00","42637","40200"
"01.01.2020 05:00 - 01.01.2020 05:15","42653","40312"
"01.01.2020 05:15 - 01.01.2020 05:30","42372","40046"
"01.01.2020 05:30 - 01.01.2020 05:45","42076","40046"
"01.01.2020 05:45 - 01.01.2020 06:00","41735","39786"
"01.01.2020 06:00 - 01.01.2020 06:15","40790","39040"
"01.01.2020 06:15 - 01.01.2020 06:30","40615","38907"
"01.01.2020 06:30 - 01.01.2020 06:45","40601","38865"
"01.01.2020 06:45 - 01.01.2020 07:00","40695","39050"
"01.01.2020 07:00 - 01.01.2020 07:15","40950","39274"
"01.01.2020 07:15 - 01.01.2020 07:30","41349","39540"
"01.01.2020 07:30 - 01.01.2020 07:45","42266","39506"
"01.01.2020 07:45 - 01.01.2020 08:00","43117","39559"
"01.01.2020 08:00 - 01.01.2020 08:15","43840","39808"
"01.01.2020 08:15 - 01.01.2020 08:30","44493","40010"
"01.01.2020 08:30 - 01.01.2020 08:45","44740","40190"
"01.01.2020 08:45 - 01.01.2020 09:00","45109","40784"
